# New slice
15 25
16 26
16 27
17 28
18 29
19 29
19 30
19 30
20 29
20 29
20 30
20 30
21 29
21 29
22 29
22 30
23 29
24 30
25 29
24 30
# New slice
0 28
1 28
2 27
3 26
3 26
4 25
3 25
2 24
3 23
2 22
3 21
2 20
2 20
1 20
2 19
1 18
2 17
1 16
2 16
2 15
# New slice
42 32
42 32
43 31
44 31
45 30
44 29
45 28
44 27
44 26
45 25
45 25
44 24
45 25
44 24
45 25
45 25
45 24
44 25
44 24
45 25
# New slice
31 33
31 32
31 32
30 31
29 30
28 30
27 29
26 30
25 29
24 30
25 29
24 30
25 29
25 29
24 30
25 30
24 30
25 30
26 29
25 30
# New slice
48 41
47 40
47 39
47 38
46 37
45 36
44 36
45 36
44 35
45 34
44 33
45 32
44 31
44 30
45 30
44 29
45 28
44 27
44 26
44 25
# New slice
0 42
1 43
1 42
1 43
2 43
3 43
3 44
4 43
4 44
5 43
6 44
7 43
8 44
9 43
10 44
10 43
11 44
11 44
12 43
12 43
# New slice
6 11
5 10
4 9
3 8
2 9
1 10
2 10
2 9
1 10
0 9
1 9
0 10
1 10
2 10
1 9
0 10
0 11
0 11
1 11
0 10
# New slice
41 20
41 21
42 22
43 23
44 24
45 25
44 24
45 25
44 24
45 25
44 25
44 24
45 25
44 24
45 25
44 24
45 25
45 24
45 24
44 25
# New slice
24 32
24 31
25 30
26 29
26 30
25 29
24 30
25 29
24 29
24 30
25 30
24 29
25 30
24 29
25 29
24 30
24 29
25 30
25 31
25 31
# New slice
0 22
0 22
0 21
1 21
1 21
2 20
1 19
2 18
2 18
1 17
2 16
1 15
0 14
0 13
0 14
0 15
0 15
1 15
0 14
1 14
# New slice
46 42
45 41
44 40
43 40
42 39
41 38
40 37
41 36
42 35
43 34
44 33
44 33
45 32
44 31
44 30
45 29
44 28
45 27
44 26
45 25
# New slice
8 46
8 46
9 45
10 44
11 43
12 44
13 43
14 44
15 43
15 43
15 44
16 43
16 43
17 42
18 42
19 43
20 42
20 41
21 42
22 41
# New slice
16 13
17 14
17 14
18 13
19 13
20 12
21 11
22 10
23 9
24 10
25 9
26 10
27 9
28 10
28 9
29 10
29 10
30 10
29 10
29 10
# New slice
3 6
2 7
2 7
1 8
2 8
2 8
1 9
0 10
0 10
1 10
0 9
1 9
0 10
0 11
1 11
0 10
0 9
0 9
1 9
1 9
# New slice
46 30
45 29
45 28
44 27
45 26
44 25
44 25
44 25
45 24
44 24
45 25
44 24
44 24
45 25
44 24
45 25
44 24
45 25
44 24
45 25
# New slice
45 43
44 42
44 42
43 41
42 40
41 39
40 39
39 38
38 37
39 36
40 35
41 34
42 33
43 32
44 31
45 30
44 30
45 29
44 28
45 27
# New slice
2 4
1 5
2 5
1 6
1 7
0 7
0 8
0 8
1 8
0 9
1 9
0 10
1 10
0 9
0 9
0 10
1 10
2 10
1 10
1 9
# New slice
9 5
9 6
8 7
8 8
7 9
6 10
5 10
4 9
3 9
2 10
2 9
1 10
0 9
1 9
0 10
1 10
0 9
1 9
0 10
0 11
# New slice
49 49
48 49
47 49
46 49
47 49
47 48
46 47
45 46
44 45
43 44
42 43
41 42
40 41
39 40
38 39
37 38
36 37
36 36
36 35
37 34
# New slice
37 17
38 18
39 19
40 20
41 21
42 21
43 22
44 23
45 24
44 25
45 24
44 25
44 24
45 24
45 24
44 25
45 24
44 25
45 24
44 25
# New slice
30 3
29 4
30 5
30 5
29 6
30 7
29 7
30 8
29 9
30 10
29 10
30 10
29 10
30 9
30 10
29 10
30 10
29 10
29 11
30 10
# New slice
8 40
9 41
10 42
11 43
12 43
12 43
13 44
14 43
15 44
16 43
16 44
17 45
18 44
18 43
18 44
19 44
19 44
20 43
21 42
22 41
# New slice
12 30
13 31
14 32
15 33
15 34
16 35
17 36
18 37
19 38
20 39
21 39
22 40
23 39
24 40
25 39
24 40
25 39
24 40
24 40
24 40
# New slice
30 4
29 5
30 6
29 7
29 7
30 8
29 9
30 10
29 10
30 9
30 10
29 10
30 10
29 10
30 10
29 10
29 11
30 10
29 10
29 11
# New slice
11 38
12 39
13 40
14 41
15 42
16 43
17 44
18 43
18 43
19 44
20 43
21 42
22 42
23 41
24 40
25 39
24 40
25 39
24 40
25 39
# New slice
30 14
29 14
30 13
29 12
30 11
29 10
29 9
30 10
29 10
30 10
29 10
29 11
29 10
29 10
30 10
31 10
30 9
29 10
29 11
30 10
# New slice
19 40
19 41
20 42
21 41
22 40
22 39
23 40
24 41
25 40
24 39
25 40
25 39
24 40
25 39
25 40
25 40
24 39
24 39
24 40
25 39
# New slice
15 30
16 31
17 32
18 31
19 30
20 29
21 29
22 29
23 30
24 30
25 29
24 29
25 30
24 31
25 30
24 29
25 30
24 29
25 30
24 29
# New slice
19 4
19 4
20 5
21 6
21 6
21 7
22 8
23 9
24 10
24 10
24 10
25 9
26 10
27 9
28 10
29 10
29 10
30 10
30 11
30 11
# New slice
45 44
44 43
43 42
43 42
42 41
41 40
40 39
39 38
38 38
37 37
36 36
36 35
37 34
38 33
39 32
40 31
41 30
42 29
43 28
44 27
# New slice
4 36
5 37
6 38
6 38
7 39
8 39
9 39
10 40
11 41
12 42
13 43
13 44
14 43
15 44
15 44
16 43
16 44
17 43
18 44
18 43
# New slice
2 48
3 47
4 46
5 45
6 45
6 45
6 44
7 43
7 43
8 43
9 44
10 44
11 43
12 44
13 43
14 44
15 44
16 43
17 44
17 43
# New slice
39 33
39 32
40 31
40 30
41 29
42 28
42 27
43 26
44 26
45 25
44 24
45 25
44 26
44 25
45 24
44 25
45 24
44 25
45 24
44 25
# New slice
44 37
43 36
44 35
45 34
44 33
45 32
44 32
45 31
44 31
45 30
45 30
45 29
44 28
45 27
44 26
44 26
45 25
44 24
45 25
45 25
# New slice
39 18
39 19
40 20
40 21
40 22
40 23
41 24
42 25
43 25
44 24
44 24
44 25
45 25
44 24
45 25
44 24
43 25
43 25
43 25
44 24
# New slice
41 36
42 35
42 35
43 35
43 35
44 34
45 33
44 32
45 31
44 30
45 29
45 28
44 27
43 27
43 26
44 25
45 24
44 25
45 24
44 25
# New slice
11 43
12 44
13 43
14 44
15 43
16 43
17 43
18 43
18 43
19 44
20 44
21 43
22 42
23 41
24 40
25 39
25 39
24 40
25 39
24 40
# New slice
44 11
43 11
42 12
41 12
40 13
39 14
40 15
39 16
39 16
40 17
40 18
41 19
42 20
43 21
44 22
44 23
45 24
44 25
44 25
45 24
# New slice
2 13
1 12
0 11
0 10
1 10
0 9
0 10
0 10
1 10
0 9
1 9
0 10
0 10
1 10
0 9
1 9
0 10
0 9
0 8
1 8
# New slice
35 26
36 25
36 24
37 25
38 24
38 23
39 24
40 25
41 24
42 25
43 25
44 24
45 25
44 24
44 25
45 25
44 25
45 25
44 24
45 25
# New slice
36 47
35 46
34 45
33 44
32 43
32 43
31 42
30 41
29 40
28 39
28 40
27 40
26 40
25 39
24 40
25 39
24 40
24 40
24 40
24 40
# New slice
10 24
9 23
8 22
8 22
7 22
6 21
5 20
4 19
3 18
2 17
1 16
2 15
1 14
0 13
1 13
2 13
1 12
0 11
0 11
1 11
# New slice
42 33
43 33
44 32
45 31
44 30
45 29
44 28
45 27
44 26
44 26
45 25
44 25
45 24
44 25
44 25
45 24
45 24
44 25
45 24
44 25
# New slice
40 47
39 46
38 46
37 45
36 44
36 43
35 42
34 41
34 40
33 39
32 38
32 38
32 38
31 39
30 38
30 38
30 39
29 40
29 40
28 40
# New slice
23 3
24 3
25 4
26 4
27 5
27 5
27 5
28 6
29 7
30 8
29 9
29 10
28 10
28 10
28 9
29 10
30 9
29 9
30 10
29 9
# New slice
20 33
21 32
22 31
23 30
24 31
25 30
24 29
25 30
25 30
24 30
25 29
24 30
24 29
25 30
25 29
25 29
25 29
25 29
24 29
25 30
# New slice
44 3
44 4
43 5
42 6
41 7
40 8
40 9
39 10
38 10
38 10
37 11
37 12
36 13
36 13
35 12
34 11
33 10
32 9
31 10
30 9
# New slice
33 38
32 39
32 40
31 39
30 40
29 39
28 40
27 39
26 40
25 39
24 40
25 39
24 40
25 39
24 38
25 39
24 39
25 40
24 40
25 39
# New slice
33 1
32 2
31 3
30 4
29 5
30 6
29 7
30 8
29 9
30 10
29 10
29 11
29 11
29 10
28 10
29 9
29 10
29 11
30 10
29 10
# New slice
29 22
28 23
27 24
27 25
27 25
27 26
27 27
26 28
25 29
25 30
25 29
24 30
24 29
25 28
24 29
25 30
24 29
25 30
24 29
24 30
# New slice
49 19
48 19
47 20
46 21
45 22
44 23
45 24
45 24
44 25
45 24
45 24
44 25
