# New slice
38 32
39 33
40 34
41 35
42 34
43 35
44 34
44 35
45 35
44 34
44 35
44 35
45 34
44 35
45 34
44 34
43 34
44 35
45 34
45 34
# New slice
14 11
14 10
13 9
13 9
12 8
11 7
10 7
9 6
8 5
8 5
8 4
7 3
6 4
6 4
5 3
4 4
3 5
2 4
1 4
2 4
# New slice
9 39
10 40
10 39
10 40
9 39
10 39
10 40
9 39
10 40
9 39
10 40
10 41
9 41
10 40
9 39
9 40
9 40
9 39
10 39
11 39
# New slice
31 0
31 1
30 2
29 3
28 4
28 5
27 6
26 7
25 8
25 8
24 9
23 10
22 11
21 11
20 12
19 13
18 14
17 15
16 15
16 15
# New slice
25 21
24 20
23 19
22 20
22 20
21 21
20 21
19 21
18 22
17 23
16 24
15 25
14 24
15 25
15 24
14 25
14 24
15 25
14 24
15 24
# New slice
29 22
28 22
27 21
26 20
25 20
24 19
23 20
22 21
22 21
21 22
21 23
20 24
19 25
18 24
17 24
16 25
15 24
14 25
15 25
14 24
# New slice
28 0
28 1
27 2
26 2
26 2
25 3
24 4
23 5
22 4
21 5
20 4
19 4
18 3
17 2
16 2
15 1
15 1
14 2
13 1
12 2
# New slice
46 48
45 47
44 46
45 45
44 44
45 43
44 43
45 42
44 41
45 40
44 39
45 38
44 37
45 36
44 35
44 34
44 34
44 35
45 34
44 35
# New slice
44 10
43 9
42 10
41 9
40 9
39 10
39 10
38 9
38 10
38 10
37 10
37 11
36 11
35 12
34 13
33 14
32 15
31 16
30 17
30 18
# New slice
35 18
34 17
34 17
33 17
32 17
32 18
31 19
30 20
29 19
28 20
27 19
26 20
25 19
25 19
24 20
24 19
23 20
22 20
21 21
20 22
# New slice
36 5
35 6
34 7
34 7
33 8
32 9
31 9
30 9
29 10
28 11
27 12
26 12
25 13
24 13
23 14
22 15
21 16
20 17
19 18
18 19
# New slice
42 26
43 27
44 28
45 29
44 30
45 31
44 32
44 33
45 34
44 35
45 35
44 34
44 35
45 34
45 35
45 35
45 35
44 34
44 35
45 34
# New slice
43 2
43 2
43 2
42 3
41 4
41 5
40 6
39 7
38 8
37 9
36 10
35 11
34 12
34 12
33 13
33 14
32 15
32 15
31 16
31 16
# New slice
12 9
11 9
10 8
10 7
9 6
9 5
8 4
7 3
6 2
5 3
4 4
3 3
2 4
1 4
1 5
1 4
2 4
1 3
1 3
1 3
# New slice
39 45
40 44
40 44
41 44
42 43
42 43
42 42
43 42
44 41
45 41
45 40
44 39
44 39
45 38
44 38
45 37
44 37
45 36
45 36
44 35
# New slice
22 5
21 4
20 3
19 4
18 3
17 2
16 1
15 2
14 1
13 2
12 1
11 2
10 1
9 2
9 2
8 3
7 4
6 3
5 4
4 3
# New slice
44 10
43 9
42 10
42 11
41 10
40 9
39 10
38 9
37 10
36 11
36 12
35 13
35 13
34 14
33 15
32 16
31 17
31 18
30 18
30 18
# New slice
2 31
2 32
3 33
4 33
5 34
6 35
7 36
8 37
9 38
9 39
10 40
9 39
10 39
9 39
10 40
9 39
10 40
9 39
10 40
9 39
# New slice
23 20
22 21
22 21
21 21
20 22
20 22
19 23
18 24
18 25
18 25
17 24
17 25
16 25
16 25
15 24
14 24
15 25
14 25
15 25
14 24
# New slice
10 34
9 35
10 36
9 37
10 38
9 39
10 39
10 40
9 40
10 39
10 40
9 39
10 40
9 39
10 40
9 39
9 39
10 39
10 40
10 40
# New slice
28 10
27 10
26 11
26 12
26 12
25 13
24 13
24 13
24 13
23 14
22 15
21 16
20 17
19 18
18 19
17 20
16 21
15 22
14 23
15 24
# New slice
44 18
43 19
42 20
42 21
43 22
44 23
44 24
45 25
45 26
44 27
45 28
45 28
44 29
45 30
44 30
45 31
45 32
45 32
44 33
45 34
# New slice
3 10
2 9
1 8
1 7
0 6
0 6
0 6
1 6
1 5
1 4
1 5
0 5
0 6
1 6
0 6
1 6
1 5
1 5
1 4
1 4
# New slice
7 4
6 3
5 4
4 4
3 5
3 4
2 5
1 4
2 4
2 4
1 5
1 5
1 4
1 5
1 5
1 4
1 5
1 4
1 5
0 5
# New slice
46 30
45 30
45 31
44 32
44 33
45 34
45 34
44 35
45 34
45 34
44 35
44 34
44 35
45 34
45 35
45 34
44 35
45 34
44 35
45 34
# New slice
6 39
7 40
8 39
9 39
10 40
9 39
10 39
10 40
9 39
10 39
10 40
9 39
9 39
10 38
10 38
10 39
10 40
9 39
10 40
10 39
# New slice
3 40
3 40
4 39
5 40
6 39
7 39
8 40
9 39
10 39
10 40
9 39
10 40
10 40
9 39
10 40
9 39
10 39
10 40
9 39
10 38
# New slice
26 32
25 33
24 34
23 35
22 36
21 36
20 36
19 37
18 38
18 38
18 39
17 40
16 41
15 42
15 43
14 43
13 42
12 42
11 41
10 40
# New slice
46 27
45 28
44 29
45 30
44 31
45 32
45 33
44 34
44 35
45 34
44 35
45 35
44 34
44 35
45 34
44 34
45 34
44 35
45 34
44 35
# New slice
9 19
10 20
11 21
12 22
13 23
14 23
15 24
14 23
14 23
15 24
15 25
14 24
15 25
14 25
15 24
15 24
14 25
15 26
14 25
15 24
# New slice
42 28
43 29
43 29
44 30
45 31
44 32
44 33
45 33
44 33
44 34
44 35
45 34
45 35
45 34
45 35
44 34
44 34
44 35
45 35
44 34
# New slice
18 38
17 39
16 40
15 41
14 42
13 43
12 43
11 43
10 42
9 41
10 40
9 39
9 40
10 39
10 40
9 39
10 40
9 39
10 40
10 41
# New slice
26 34
26 34
25 34
25 34
25 34
24 34
24 35
24 36
24 36
23 37
22 38
21 39
20 40
20 40
20 41
19 41
18 42
17 43
16 44
15 44
# New slice
38 24
39 25
40 26
41 27
42 28
42 29
43 30
44 31
45 31
44 32
44 33
45 34
45 35
45 34
44 34
45 34
44 35
44 34
44 35
45 34
# New slice
29 17
29 18
28 19
28 19
27 20
27 20
26 19
25 20
24 20
23 19
22 20
21 21
20 21
20 21
19 22
18 23
17 24
16 25
15 25
15 25
# New slice
47 3
46 4
45 5
45 6
45 7
44 8
44 9
43 10
42 9
41 8
41 9
41 9
40 10
40 9
39 10
38 9
37 10
36 11
35 12
35 12
# New slice
38 3
37 4
36 5
35 6
34 7
33 8
33 9
33 9
32 10
31 11
31 12
31 13
30 14
30 15
29 16
28 17
28 17
28 18
27 18
26 19
# New slice
