#Observed Trajectory.
18 33
19 32
20 32
21 30
22 29
23 28
24 27
24 26
24 26
25 25
26 25
25 25
27 24
28 23
29 22
30 22
31 20
30 20
29 19
30 18
#Observed Trajectory.
6 21
6 20
7 20
8 20
9 19
10 17
10 17
11 18
12 18
13 18
14 17
15 16
16 16
17 15
18 14
18 15
19 14
20 15
21 15
21 16
#Observed Trajectory.
40 17
39 16
38 15
38 15
37 14
36 13
35 12
34 11
34 10
35 9
34 8
35 7
34 6
33 6
33 6
34 5
35 5
34 5
35 5
34 5
#Observed Trajectory.
7 27
7 26
8 25
9 25
10 25
11 24
12 23
13 22
14 21
15 20
16 20
17 19
18 18
18 17
20 16
21 15
22 15
23 14
24 14
25 12
#Observed Trajectory.
44 16
43 15
42 14
42 13
42 12
41 11
40 11
39 10
38 10
37 9
36 9
35 8
33 7
35 6
35 6
34 5
34 6
34 5
35 5
34 5
#Observed Trajectory.
35 7
34 6
34 5
35 5
34 5
35 5
34 5
35 5
34 5
34 6
35 6
34 5
34 6
33 6
34 5
34 6
34 5
35 5
34 5
34 4
#Observed Trajectory.
8 9
9 8
10 7
11 8
11 9
12 10
13 11
14 12
15 13
16 14
15 15
17 16
18 15
19 14
20 15
20 14
20 15
20 15
20 15
20 15
#Observed Trajectory.
48 40
47 39
46 38
45 37
45 36
44 36
43 35
42 33
42 33
41 32
40 31
40 30
39 30
38 29
40 30
39 30
40 29
39 30
40 29
39 30
#Observed Trajectory.
48 8
47 9
46 9
45 10
45 9
44 8
44 10
44 10
43 9
42 9
41 10
40 9
39 8
38 8
37 7
36 6
36 5
35 5
34 5
34 6
#Observed Trajectory.
6 27
7 26
8 26
8 26
8 25
10 25
11 24
12 23
13 22
14 21
15 20
16 19
17 18
17 18
18 16
19 16
21 15
21 15
22 15
23 14
#Observed Trajectory.
21 29
22 29
23 28
23 28
24 28
25 27
26 26
26 25
28 24
29 24
31 23
30 22
30 22
31 21
31 20
30 18
29 19
29 18
30 17
31 16
#Observed Trajectory.
7 14
8 15
9 16
10 17
11 18
11 18
12 19
13 18
14 17
14 16
16 15
18 14
18 15
19 14
20 15
21 15
21 16
22 15
23 14
24 13
#Observed Trajectory.
29 38
30 37
30 36
30 36
31 35
32 34
33 33
34 32
35 31
35 31
36 30
37 28
37 30
38 30
38 30
39 30
41 29
39 30
40 29
40 29
#Observed Trajectory.
31 5
32 4
33 5
35 5
33 5
33 5
34 5
35 5
34 5
34 6
34 5
35 5
35 5
34 6
34 5
35 5
34 5
34 6
33 5
35 4
#Observed Trajectory.
9 40
10 39
9 38
10 37
9 36
10 35
9 34
9 35
10 35
9 34
10 35
9 35
10 33
11 32
11 32
13 31
13 31
14 30
