# New slice
41 1
40 2
39 3
38 4
39 5
40 6
39 7
40 8
40 8
39 8
38 9
38 9
38 10
37 11
36 12
36 12
35 13
35 13
34 14
33 15
# New slice
48 16
48 16
48 16
48 16
47 17
46 17
46 17
45 18
44 19
43 20
43 20
43 21
42 22
42 23
41 24
40 25
39 25
39 25
38 26
38 26
# New slice
24 7
23 8
22 8
21 9
20 10
19 11
20 11
20 11
19 12
20 12
19 13
20 14
19 15
20 16
19 17
20 18
19 19
18 20
17 21
16 22
# New slice
19 19
18 20
17 21
17 22
16 22
16 23
15 23
14 24
14 24
13 25
13 25
12 26
11 27
10 28
11 29
12 30
13 31
14 32
15 33
15 34
# New slice
16 28
15 28
14 29
13 30
14 30
15 31
14 32
14 32
14 32
15 33
15 34
14 34
15 34
15 33
16 33
15 34
15 33
15 34
14 34
15 33
# New slice
48 31
47 30
46 29
45 30
44 29
43 30
42 29
41 30
40 29
39 30
38 29
37 30
36 29
35 30
35 30
34 29
33 30
32 31
31 30
30 31
# New slice
1 24
2 25
2 26
2 26
2 27
3 27
4 28
4 28
5 29
6 30
7 29
8 30
8 31
9 30
9 31
10 32
11 33
12 34
13 35
14 34
# New slice
32 28
32 29
31 30
30 29
29 28
28 29
27 29
26 30
25 29
24 30
23 31
23 31
23 31
22 30
22 31
21 32
20 33
19 34
18 35
17 34
# New slice
0 0
0 1
1 1
2 2
3 3
4 4
5 5
5 5
4 5
5 5
4 6
5 7
4 8
5 9
4 10
5 11
4 12
3 13
4 14
5 15
# New slice
6 4
5 5
4 6
5 7
4 7
5 8
4 9
5 9
4 10
5 11
4 11
4 12
5 13
5 14
5 15
4 16
5 17
6 18
7 19
8 20
# New slice
28 34
28 33
27 32
27 32
26 31
25 30
24 29
23 30
22 31
21 32
21 33
20 33
19 34
18 35
17 34
16 35
15 34
14 34
14 35
15 34
# New slice
16 35
15 34
14 34
15 34
14 34
15 34
15 33
16 33
15 33
15 34
14 34
13 34
14 34
14 34
15 34
14 34
15 34
14 34
14 35
15 34
# New slice
33 12
32 13
32 14
31 15
30 16
29 17
29 17
28 18
27 19
27 19
26 20
25 21
25 21
24 22
23 23
22 24
21 25
20 26
19 27
19 27
# New slice
47 22
46 23
45 24
44 25
44 25
43 26
42 27
41 28
41 29
41 30
40 29
39 30
38 29
37 30
37 30
37 30
37 30
37 29
37 29
36 30
# New slice
21 17
20 18
20 18
19 18
18 19
17 20
16 21
15 22
14 23
14 23
13 24
13 25
13 25
12 26
11 27
10 28
11 29
12 29
13 30
14 31
# New slice
14 14
14 14
15 15
16 16
15 17
14 18
13 19
12 20
12 20
11 21
10 22
10 23
9 23
9 24
10 25
9 26
