# New slice
13 8
14 9
15 10
14 11
15 12
15 12
15 12
14 13
15 14
16 15
15 16
15 16
16 16
15 16
15 17
16 18
16 18
17 19
17 19
18 20
# New slice
41 28
41 29
40 30
39 31
38 32
38 32
38 32
37 32
36 31
35 30
35 30
34 29
35 30
35 29
34 30
35 29
34 30
35 29
34 28
35 29
# New slice
23 35
23 36
24 37
25 37
24 38
25 39
24 40
25 40
24 39
25 40
24 39
24 40
25 39
25 39
24 40
25 39
24 39
25 40
24 39
25 39
# New slice
39 6
40 7
40 7
41 8
42 9
43 10
44 10
43 11
42 12
42 12
43 12
42 12
43 13
42 14
42 14
42 15
43 15
43 15
42 16
43 16
# New slice
7 42
8 42
9 41
10 40
11 39
11 39
12 38
12 37
13 37
13 37
14 36
14 35
15 35
16 34
16 34
17 33
18 32
19 32
19 31
19 31
# New slice
18 37
19 38
20 39
21 40
22 39
22 39
23 40
24 39
25 40
24 39
24 40
25 39
25 40
25 39
24 40
24 39
25 40
24 39
25 40
25 40
# New slice
29 0
29 1
30 2
30 2
31 3
32 4
33 5
34 5
35 6
36 7
37 8
38 9
39 10
40 10
40 11
41 12
42 13
43 14
43 15
42 16
# New slice
15 16
16 17
17 18
18 19
19 20
20 21
19 22
20 22
19 23
20 24
20 25
19 26
19 27
20 28
19 28
20 29
19 30
20 29
19 30
19 30
# New slice
17 4
16 5
15 6
14 7
15 8
14 9
13 10
14 11
15 12
14 13
15 14
15 14
15 14
15 15
16 16
16 17
16 18
17 19
18 20
19 21
# New slice
31 27
31 28
32 28
33 28
34 28
34 29
35 30
34 29
35 30
34 30
34 30
35 29
34 30
35 29
35 30
34 30
35 29
34 30
35 29
34 30
# New slice
37 23
38 24
37 25
36 26
35 27
34 28
35 28
34 29
35 30
34 29
35 30
34 29
35 30
34 29
35 29
34 30
35 29
34 30
35 29
34 30
# New slice
40 0
40 1
40 2
41 3
42 4
42 5
43 6
42 7
43 8
42 9
43 10
42 11
43 12
43 13
42 13
43 13
42 13
42 13
43 14
42 15
# New slice
11 45
11 45
12 44
12 44
13 43
14 42
15 41
16 40
17 39
18 40
19 39
20 40
20 39
20 39
21 40
22 41
23 40
24 39
24 39
25 40
# New slice
12 49
12 48
12 47
13 46
14 45
15 44
16 43
17 42
18 41
19 40
20 39
20 40
20 40
21 39
22 40
22 39
22 39
23 40
24 39
25 39
# New slice
22 35
22 36
22 37
22 37
23 38
24 39
25 39
24 40
25 39
25 40
24 39
25 40
24 39
24 39
25 40
24 39
25 40
24 39
25 40
25 39
# New slice
18 17
17 18
18 19
19 20
20 21
19 22
20 23
19 24
20 25
19 26
20 26
19 27
20 28
19 29
20 30
19 29
19 30
20 29
21 30
20 29
# New slice
23 17
24 18
25 19
25 19
24 19
23 20
22 21
21 21
20 22
19 23
20 24
19 24
20 25
20 26
19 27
20 28
19 29
20 30
19 29
20 30
# New slice
32 3
33 4
34 4
34 5
35 6
36 7
37 8
38 9
38 10
39 11
40 12
41 13
42 14
43 14
42 15
42 15
43 16
42 17
42 17
43 18
# New slice
42 22
41 23
40 24
39 25
38 26
37 27
37 28
37 29
36 30
35 29
35 30
34 29
35 30
35 29
35 30
35 30
34 29
35 29
34 30
34 30
# New slice
34 34
34 34
34 33
35 32
36 31
35 30
34 29
35 28
34 29
35 30
34 29
35 30
34 29
34 29
35 30
34 29
35 30
34 29
35 30
35 30
# New slice
12 11
13 12
14 13
15 14
16 14
17 15
16 15
15 16
16 17
17 17
16 18
17 19
18 20
19 21
19 21
20 22
19 23
20 24
19 25
19 26
# New slice
10 32
11 33
12 32
13 31
14 30
15 29
16 30
17 29
18 30
19 31
20 30
19 29
19 30
20 29
20 30
20 30
20 30
19 29
20 30
19 29
# New slice
39 49
39 48
39 47
38 46
38 46
37 45
37 44
36 43
35 43
34 42
34 42
34 41
33 40
33 40
32 40
31 39
30 38
29 39
28 39
27 38
# New slice
35 40
35 39
34 38
34 37
33 36
32 35
31 36
30 37
29 38
28 39
28 39
27 38
27 39
26 40
25 39
24 40
25 39
25 40
24 40
24 40
# New slice
13 28
14 29
15 30
16 29
17 28
18 29
18 29
19 30
20 29
19 30
20 29
19 30
20 29
19 30
19 29
20 30
19 29
19 30
20 29
19 30
# New slice
29 3
29 4
30 5
31 6
31 6
32 7
33 8
34 9
35 10
36 11
37 12
38 13
39 14
40 14
40 15
40 15
41 16
42 17
43 18
43 19
# New slice
48 6
47 7
46 8
45 9
45 10
44 11
43 12
42 13
43 13
42 14
43 15
42 16
43 17
42 18
43 19
43 19
42 20
41 21
40 21
41 22
# New slice
34 13
35 14
36 15
37 16
38 17
38 17
38 17
39 18
40 19
41 19
42 20
41 21
40 22
39 23
39 24
39 25
39 26
38 27
37 28
37 29
# New slice
14 44
14 43
14 43
15 43
16 42
17 41
18 40
19 39
20 40
21 39
22 40
23 39
24 38
25 39
25 39
24 40
25 39
24 40
25 39
24 40
# New slice
8 30
9 31
10 31
11 32
12 33
13 32
14 31
14 30
15 30
16 30
16 30
17 29
18 30
18 30
19 29
20 29
19 30
20 29
19 30
20 29
# New slice
28 17
29 18
29 19
30 20
31 21
32 22
33 23
34 24
35 25
36 25
35 26
35 27
34 28
35 29
34 30
35 29
35 30
34 30
35 29
34 30
# New slice
3 43
4 43
5 42
6 41
7 40
7 39
8 40
9 39
10 39
11 39
11 38
12 38
13 38
13 38
14 38
14 39
15 38
16 39
17 39
18 40
# New slice
2 24
2 25
3 25
4 26
4 26
5 26
6 27
7 28
8 29
9 30
10 31
11 32
12 33
13 32
13 32
14 31
15 30
16 29
17 30
18 29
# New slice
6 22
7 23
8 24
9 24
9 24
9 25
10 25
11 26
11 26
12 27
13 28
14 29
15 30
16 30
17 29
17 30
18 29
19 29
19 29
20 30
# New slice
30 14
31 15
32 16
32 16
32 17
32 18
33 19
34 20
35 21
36 22
36 23
37 24
36 25
37 26
36 26
35 27
34 28
35 29
34 30
35 29
# New slice
38 34
37 33
36 32
35 31
34 30
33 29
33 29
34 30
35 29
34 30
35 30
34 29
35 28
34 29
35 30
36 29
36 30
35 29
34 30
34 29
# New slice
1 23
2 24
3 25
4 26
5 27
6 28
6 29
7 30
8 31
9 32
10 33
11 34
12 33
12 33
13 32
14 31
15 30
16 31
17 30
18 30
# New slice
12 48
12 47
13 46
14 45
14 45
14 44
15 43
16 42
16 42
16 41
17 40
18 39
19 40
20 39
21 40
22 39
23 40
24 39
25 40
24 40
# New slice
9 37
10 38
10 38
11 37
12 36
12 35
13 34
14 33
15 32
15 31
16 30
17 30
17 29
17 30
17 30
18 29
18 29
18 30
19 29
20 30
# New slice
32 10
33 11
33 12
33 12
34 13
34 13
35 14
36 15
37 15
38 16
38 17
39 18
40 18
41 19
42 20
41 21
40 22
39 22
39 23
38 23
# New slice
7 15
8 16
9 17
10 18
11 19
11 19
11 20
12 21
13 22
13 23
14 24
15 25
15 26
16 27
16 28
17 29
18 30
19 29
20 28
19 29
# New slice
31 46
30 45
30 45
29 44
28 43
27 42
26 42
25 41
24 40
25 40
25 40
25 39
24 40
25 39
24 40
25 39
24 40
25 39
25 39
24 40
# New slice
17 48
17 48
17 47
18 46
19 45
20 44
21 43
21 43
22 42
23 42
24 41
25 40
25 40
24 40
24 40
24 40
24 39
24 40
25 39
24 39
# New slice
38 46
37 45
