#Observed Trajectory.
8 49
8 48
9 47
10 47
11 46
12 45
13 44
14 44
15 43
14 42
15 41
14 40
15 39
14 38
15 38
15 37
14 36
14 36
14 35
13 34
#Observed Trajectory.
22 14
21 15
20 16
20 17
17 18
18 19
17 19
16 21
17 20
15 21
15 21
14 22
13 23
11 24
11 25
10 26
9 28
10 28
10 29
9 29
#Observed Trajectory.
48 3
47 4
46 5
45 6
44 8
43 7
43 7
43 7
42 7
41 8
40 9
39 9
38 10
37 11
36 12
36 13
35 14
34 15
33 16
32 17
#Observed Trajectory.
25 7
24 8
23 9
22 10
21 12
21 11
21 11
20 12
20 12
19 13
18 14
18 14
17 15
16 16
15 17
14 18
15 19
14 20
15 21
14 22
#Observed Trajectory.
14 31
13 31
13 29
12 29
11 29
10 29
9 28
10 30
10 29
10 29
9 29
8 29
8 28
10 29
9 30
10 28
10 29
10 29
9 29
10 29
#Observed Trajectory.
32 45
30 44
30 43
30 42
29 41
29 40
27 40
26 39
25 38
24 37
23 36
22 35
21 34
20 34
19 35
18 34
17 35
16 35
15 34
14 33
#Observed Trajectory.
30 43
29 42
29 41
28 40
27 39
26 38
25 37
24 36
23 35
22 34
21 34
21 34
20 34
19 35
18 34
17 35
16 34
15 33
15 32
15 32
#Observed Trajectory.
40 45
39 44
38 44
37 44
36 43
35 42
34 41
33 40
32 39
32 38
31 37
30 37
29 35
29 35
28 34
27 33
27 33
26 34
25 35
25 36
#Observed Trajectory.
3 37
4 36
5 37
6 35
7 34
8 34
9 32
10 31
9 31
10 30
9 30
9 29
10 29
9 29
10 29
9 29
10 29
10 29
9 30
10 28
#Observed Trajectory.
38 4
36 5
36 6
35 7
35 8
34 9
33 10
33 10
32 11
31 12
30 14
29 13
28 14
27 15
26 16
26 16
25 17
25 18
24 19
24 20
#Observed Trajectory.
34 0
34 1
33 1
32 2
31 3
30 4
29 5
28 6
27 7
25 8
25 9
24 9
23 11
22 12
21 13
20 14
19 15
18 16
17 17
16 16
#Observed Trajectory.
16 37
16 37
15 36
15 35
14 35
13 34
12 33
11 32
10 31
10 30
10 29
9 29
10 29
10 29
8 29
9 29
10 29
10 28
10 29
10 30
#Observed Trajectory.
17 33
18 34
17 36
16 34
15 33
14 33
13 32
12 31
11 30
10 29
10 28
9 28
10 28
9 28
10 29
9 30
9 30
10 29
10 29
10 30
#Observed Trajectory.
21 24
19 25
17 26
17 26
18 27
17 28
17 28
17 28
16 29
15 30
14 30
15 32
13 32
12 32
12 31
11 30
10 28
10 30
10 29
9 29
#Observed Trajectory.
4 42
3 41
2 40
1 39
2 38
3 37
4 37
5 36
6 36
7 36
6 35
7 34
8 33
9 32
9 33
10 32
9 31
10 30
10 29
10 28
#Observed Trajectory.
23 18
22 19
21 20
20 21
19 22
18 23
17 24
16 25
14 26
14 27
13 28
12 29
11 29
10 29
10 28
10 29
9 29
10 29
10 29
9 30
#Observed Trajectory.
2 27
3 28
4 29
5 30
6 29
7 30
8 29
9 29
10 29
9 29
10 29
9 29
10 29
9 29
10 29
9 29
10 29
9 29
9 29
10 29
#Observed Trajectory.
42 30
41 29
40 28
40 28
39 27
38 26
37 24
36 26
35 27
34 27
33 28
31 29
31 30
30 31
29 32
28 33
27 34
26 35
25 34
24 35
#Observed Trajectory.
11 39
12 38
13 37
13 37
14 35
14 35
13 34
13 34
12 33
11 32
11 31
10 29
9 30
10 29
10 29
9 29
10 30
10 30
9 30
11 29
#Observed Trajectory.
17 14
16 15
15 16
14 17
14 18
15 19
14 20
15 20
15 21
14 22
13 23
13 23
12 23
11 24
11 24
10 26
9 27
10 28
10 29
9 29
#Observed Trajectory.
31 6
30 6
29 7
28 8
28 9
28 9
28 9
28 11
27 11
26 11
25 12
24 13
23 14
22 15
21 16
20 17
19 18
18 19
17 19
16 20
#Observed Trajectory.
44 22
43 21
42 20
41 19
41 18
39 19
38 19
37 20
36 21
35 22
34 23
34 24
33 25
32 26
31 27
30 28
29 29
28 30
27 31
26 32
#Observed Trajectory.
12 36
13 35
14 34
14 34
13 33
12 32
11 32
10 30
10 29
9 29
10 29
9 29
10 29
10 28
10 29
10 29
9 29
10 29
9 29
9 30
#Observed Trajectory.
40 41
39 40
38 40
38 39
37 38
37 37
37 36
35 35
34 35
33 34
33 33
32 32
31 32
30 31
30 31
29 31
29 31
28 32
27 33
26 33
#Observed Trajectory.
47 47
46 46
45 45
44 43
43 43
42 42
41 41
40 40
40 39
38 38
37 37
36 37
35 37
34 36
32 35
32 34
32 34
32 34
31 33
31 32
#Observed Trajectory.
38 14
37 15
37 16
36 17
36 18
36 19
36 19
35 20
34 21
34 21
33 22
32 23
30 24
30 25
29 25
28 26
27 26
26 27
25 28
24 29
#Observed Trajectory.
30 31
29 32
28 33
27 34
26 35
26 34
25 35
24 34
23 35
22 34
21 35
20 34
19 35
18 34
17 35
16 34
16 33
15 33
14 32
13 31
#Observed Trajectory.
5 22
5 23
6 23
7 25
8 26
9 27
10 28
10 29
9 29
10 29
9 29
10 29
9 29
10 29
9 29
10 29
10 29
9 29
9 29
10 29
#Observed Trajectory.
47 22
46 21
46 21
46 20
45 19
44 18
43 17
42 16
41 17
41 18
40 19
39 19
38 22
38 21
37 22
36 22
35 23
34 24
33 25
32 25
#Observed Trajectory.
3 6
4 7
4 8
4 9
3 10
2 11
1 12
1 12
1 13
0 14
1 14
0 15
1 15
1 15
0 16
0 16
0 15
1 15
0 16
1 16
#Observed Trajectory.
46 23
45 23
44 22
44 21
44 21
43 20
42 19
41 18
40 19
40 20
39 19
38 19
37 20
36 21
35 22
34 23
33 25
32 25
31 26
29 27
#Observed Trajectory.
2 27
3 28
4 28
5 30
6 30
6 30
7 29
7 29
8 30
9 30
10 29
10 29
9 29
10 29
9 29
10 29
10 28
10 29
9 29
9 30
#Observed Trajectory.
32 18
31 19
30 20
29 21
28 22
27 23
26 23
25 25
25 26
23 27
23 28
22 28
21 28
20 29
19 30
18 31
19 31
18 32
17 33
16 34
#Observed Trajectory.
7 47
8 46
9 45
10 44
11 44
12 42
13 40
13 40
15 39
14 38
15 37
14 36
15 35
14 34
13 33
13 33
12 32
11 31
11 31
10 31
#Observed Trajectory.
24 33
24 34
23 35
22 35
21 34
21 35
20 34
19 35
18 34
18 35
18 34
17 35
16 34
15 33
14 33
14 33
13 32
13 32
13 31
12 30
#Observed Trajectory.
4 36
4 35
5 35
6 34
7 32
8 32
9 31
10 30
11 29
9 29
10 29
10 29
9 29
10 29
10 28
10 30
10 28
11 28
10 29
9 29
#Observed Trajectory.
16 31
15 32
14 33
12 32
12 31
11 30
10 30
11 30
10 29
10 30
10 30
10 29
10 28
9 28
10 29
10 28
10 29
9 29
10 29
9 29
#Observed Trajectory.
39 33
37 32
37 31
36 30
35 29
34 29
33 28
32 28
31 29
31 30
30 30
29 30
28 31
28 31
27 32
27 33
25 34
25 34
24 35
23 34
#Observed Trajectory.
39 4
39 6
39 4
38 5
37 5
36 6
36 6
35 7
34 7
33 7
32 8
31 9
30 10
29 11
28 13
27 13
27 14
25 15
25 16
24 17
#Observed Trajectory.
6 45
6 44
8 43
9 42
9 40
10 40
10 40
11 39
11 39
12 38
13 38
14 37
15 37
13 36
15 35
14 35
13 33
12 33
11 32
10 31
#Observed Trajectory.
14 22
13 23
13 24
12 25
11 26
10 27
10 26
10 27
9 28
10 29
9 29
10 29
10 29
9 29
9 30
10 29
10 28
10 29
10 29
10 30
#Observed Trajectory.
17 35
16 34
15 33
15 33
14 32
13 31
12 29
11 32
10 30
10 29
9 29
10 29
11 28
9 29
8 29
9 30
10 29
9 29
10 29
9 29
#Observed Trajectory.
45 17
44 16
43 16
42 15
42 15
42 16
41 16
40 18
40 19
38 20
37 21
35 22
35 22
34 23
34 23
34 23
