# New slice
36 40
36 40
35 40
34 40
33 39
32 39
32 39
31 38
31 37
30 36
29 36
30 35
29 34
30 33
29 32
30 31
29 30
30 29
29 30
30 29
# New slice
35 14
34 15
34 16
34 16
34 16
33 17
33 17
32 18
31 18
31 18
30 18
29 19
30 19
29 20
29 21
29 21
30 22
29 23
30 24
29 25
# New slice
13 14
13 14
12 15
11 16
10 15
9 14
8 13
7 14
6 13
5 12
4 12
3 12
2 12
1 11
0 10
0 9
1 9
2 9
1 10
0 10
# New slice
40 49
40 48
39 47
38 46
37 45
36 45
36 45
35 44
34 43
34 43
33 42
32 41
32 40
32 40
31 40
30 39
29 38
30 37
29 36
30 35
# New slice
16 14
15 15
14 14
13 15
12 14
11 15
10 16
9 15
8 14
7 13
6 12
5 11
4 10
4 10
3 10
2 11
1 10
1 9
0 10
1 10
# New slice
26 7
25 6
24 5
23 4
22 3
22 3
21 2
20 1
19 0
19 1
18 1
18 0
18 1
18 1
18 0
19 0
19 1
18 0
19 0
20 0
# New slice
25 12
25 12
24 13
25 14
25 14
26 15
27 16
28 17
29 18
30 19
29 20
30 20
30 21
30 21
30 21
29 22
29 22
30 23
29 24
29 24
# New slice
9 3
9 4
9 5
8 6
7 7
7 8
6 9
5 10
4 11
3 10
2 11
1 10
0 9
0 9
1 9
0 10
1 10
1 9
0 10
1 10
# New slice
20 6
20 6
19 5
18 4
17 3
17 3
16 2
15 3
15 3
14 4
13 5
12 6
11 7
11 8
11 8
10 8
9 9
8 10
7 11
6 12
# New slice
0 39
0 38
1 38
2 37
2 36
3 35
4 34
5 35
6 36
7 36
8 37
9 38
9 39
10 40
11 41
12 42
12 42
13 43
14 44
15 43
# New slice
10 30
9 31
10 32
11 33
12 34
13 35
14 36
14 36
15 37
14 38
15 39
14 40
15 41
15 42
14 42
15 43
14 43
15 44
14 43
15 43
# New slice
29 31
30 31
30 31
30 31
29 30
30 29
29 28
30 29
29 30
29 29
29 30
29 29
30 28
29 29
30 30
29 29
30 30
29 29
29 29
29 29
# New slice
36 25
36 26
35 27
35 27
34 28
33 29
32 30
31 29
30 30
29 29
29 30
29 29
30 30
29 29
30 30
29 31
30 30
29 29
30 30
29 29
# New slice
15 2
14 3
13 4
13 4
12 5
11 6
10 7
9 8
8 9
7 10
6 11
5 12
4 11
3 10
2 11
1 10
0 9
1 9
1 10
0 10
# New slice
38 9
37 10
37 11
36 12
35 12
34 13
33 14
32 15
31 16
30 17
29 17
30 18
31 18
31 19
30 20
30 20
29 21
30 21
29 21
30 22
# New slice
10 12
9 13
8 14
7 13
7 12
6 12
5 11
5 11
4 11
3 10
2 10
1 9
0 10
1 10
1 9
0 10
0 10
0 11
0 11
1 11
# New slice
36 48
35 47
34 46
34 45
33 44
33 44
33 43
32 42
31 41
30 40
29 39
30 39
29 38
29 37
29 36
30 35
29 34
30 34
29 33
30 32
# New slice
35 37
34 36
33 35
33 35
33 35
32 34
32 33
31 32
30 31
29 30
30 29
29 30
30 29
29 30
30 30
29 29
28 29
29 30
30 29
29 30
# New slice
5 22
5 22
4 21
3 20
3 20
2 19
1 18
2 18
1 17
1 16
0 15
0 14
1 14
0 14
1 14
