# New slice
24 26
23 27
24 28
23 28
24 29
24 28
24 29
25 29
24 29
24 30
25 30
24 30
25 30
25 30
26 30
26 29
25 29
24 29
24 30
25 30
25 31
25 30
24 30
24 31
24 31
25 31
26 30
26 30
25 30
24 30
# New slice
20 13
21 13
22 13
23 13
23 12
24 12
25 12
25 12
25 12
26 11
27 11
28 11
28 10
29 10
30 10
29 10
30 10
29 10
30 10
30 10
29 10
30 10
30 9
29 9
30 9
29 10
30 10
29 10
30 10
29 10
# New slice
42 40
41 39
40 38
39 37
38 36
37 36
36 35
35 34
34 33
33 33
32 32
31 31
31 30
30 30
29 30
28 30
28 30
27 29
26 29
25 29
26 29
25 29
24 29
24 28
24 29
25 29
24 29
24 28
25 28
24 28
# New slice
43 14
43 14
42 14
42 15
42 15
41 14
40 14
39 14
38 14
37 14
37 14
36 14
35 14
35 13
34 12
33 12
33 11
32 11
32 10
32 9
32 9
31 9
30 9
29 9
30 9
29 10
29 11
30 11
29 10
30 10
# New slice
36 42
35 41
35 40
34 39
33 39
32 39
32 40
31 40
30 40
29 40
28 40
27 39
26 39
26 38
25 39
25 40
25 41
25 40
25 40
25 41
24 40
25 40
24 40
24 40
24 39
24 40
24 39
25 39
24 39
25 39
# New slice
1 26
1 26
0 25
0 25
1 25
1 25
0 24
1 24
0 23
1 23
0 22
1 22
1 21
1 20
1 19
0 18
1 18
0 17
1 17
1 17
1 17
0 16
1 16
0 15
0 14
1 14
1 14
0 13
0 14
0 13
# New slice
14 37
15 37
15 37
16 37
17 37
17 36
18 36
19 36
20 36
21 36
21 37
22 37
22 38
23 38
24 39
25 39
24 39
25 39
24 39
24 39
25 39
25 39
24 39
25 39
24 39
25 39
25 39
24 39
25 39
25 39
# New slice
1 34
1 33
0 32
0 33
1 33
0 32
1 32
0 31
0 30
1 30
0 29
1 29
1 28
0 27
1 27
0 26
1 26
0 25
1 25
0 24
0 24
0 25
1 25
0 24
1 24
0 23
0 24
1 24
0 23
0 23
# New slice
2 29
1 28
1 28
0 27
1 27
0 26
0 27
1 27
1 27
2 27
2 26
1 26
0 25
1 25
0 24
1 24
1 23
0 22
1 22
0 21
1 21
0 20
0 19
0 18
1 18
0 17
0 17
1 17
0 17
1 17
# New slice
18 43
19 43
20 43
19 44
20 44
19 44
20 44
19 44
20 44
19 44
19 45
19 46
19 45
20 45
20 46
20 45
19 44
20 44
20 43
19 44
20 44
19 44
20 44
19 44
19 43
20 43
19 43
20 43
19 44
19 45
# New slice
41 7
41 8
40 8
39 8
39 9
38 9
38 9
38 8
38 8
37 8
36 8
35 8
34 8
33 8
32 9
31 9
31 10
30 10
29 10
29 10
29 9
30 9
30 10
29 10
30 10
29 10
29 9
30 9
29 10
29 10
# New slice
39 24
39 24
40 24
41 24
42 24
43 24
44 24
43 24
43 25
42 25
42 26
42 25
43 25
42 24
43 24
44 24
43 24
43 24
44 24
44 25
43 25
42 24
43 24
44 24
43 24
44 24
43 24
44 24
43 24
43 25
# New slice
3 11
2 10
1 10
1 10
0 10
1 10
1 9
1 8
0 9
0 9
1 9
0 9
0 9
1 9
0 9
0 9
1 9
1 10
0 10
0 11
0 10
1 10
0 10
1 10
1 9
1 10
1 10
0 10
0 9
0 8
# New slice
16 35
17 35
18 35
18 35
19 34
20 33
21 32
21 32
22 31
22 31
23 31
23 31
24 30
25 30
24 30
25 30
24 29
24 29
24 30
25 30
25 30
25 29
24 30
24 29
25 29
24 29
25 29
24 29
24 30
25 30
# New slice
21 1
20 1
19 1
18 1
19 1
18 1
19 1
19 0
19 1
18 1
18 1
19 1
18 1
19 1
18 1
18 0
18 1
18 2
19 2
18 1
19 1
20 1
19 1
18 0
18 0
18 0
18 1
18 2
19 2
18 1
# New slice
25 40
24 40
25 40
24 40
24 40
24 40
25 40
25 40
24 40
25 40
24 40
24 39
24 40
24 40
25 40
25 39
24 39
25 39
25 39
24 39
24 40
25 40
24 40
25 40
26 40
25 40
24 40
25 40
25 40
24 40
# New slice
2 13
1 12
0 12
1 12
0 11
1 11
1 10
2 10
2 9
1 9
0 9
1 9
1 8
0 8
1 8
0 9
1 9
1 10
0 10
0 11
1 11
0 11
1 11
0 10
0 9
0 10
1 10
1 11
0 10
0 10
# New slice
46 5
45 5
44 5
43 5
42 5
41 5
41 4
41 3
40 3
39 3
38 3
38 2
37 3
36 4
36 5
35 5
34 6
33 6
32 7
31 8
31 7
30 8
29 9
29 10
30 10
29 10
30 10
30 11
29 11
30 11
# New slice
25 48
24 47
24 47
23 46
22 45
22 46
21 45
20 45
19 45
20 45
20 44
20 43
19 44
19 45
20 45
19 44
19 43
19 44
19 44
19 45
20 45
19 45
20 45
19 44
20 44
19 44
20 44
19 44
20 44
19 44
# New slice
36 40
35 39
34 38
33 37
33 37
32 36
31 35
31 35
31 34
30 33
29 32
28 31
27 30
26 30
26 29
25 29
25 28
24 29
25 29
24 29
25 29
25 30
25 31
24 30
25 30
26 30
25 30
24 30
25 30
25 29
# New slice
41 20
42 21
41 22
42 23
42 24
43 24
43 24
42 24
43 24
44 24
43 24
44 24
44 24
43 24
44 24
43 24
44 24
45 24
44 24
43 24
44 24
44 23
44 22
43 22
44 23
43 24
43 23
44 23
43 23
44 23
# New slice
47 9
47 8
46 8
45 8
44 8
43 8
43 8
42 8
42 9
41 9
41 9
41 8
40 8
39 8
38 8
37 8
36 8
35 8
34 8
34 9
33 9
32 9
31 9
31 10
31 11
31 10
30 10
29 10
30 10
29 10
# New slice
11 5
11 6
11 5
10 5
10 4
9 4
8 4
7 4
6 5
5 6
4 7
3 7
2 8
2 8
1 8
0 9
1 9
0 9
0 10
1 10
0 10
0 11
1 11
0 10
1 10
0 10
1 10
2 10
2 10
1 10
# New slice
34 2
33 3
33 3
32 3
31 4
30 5
29 5
28 6
27 7
28 8
29 9
29 9
30 9
29 10
30 10
29 10
28 10
28 10
29 10
29 10
29 9
29 8
29 8
30 8
30 8
29 9
30 9
29 10
30 10
29 10
# New slice
2 13
1 12
0 11
1 11
0 10
1 10
0 10
1 10
0 10
1 10
1 11
1 10
0 10
1 10
0 10
1 10
1 11
0 10
1 10
1 11
0 11
1 11
0 10
0 11
1 11
0 10
1 10
1 10
0 9
0 10
# New slice
13 36
13 36
12 35
12 35
11 34
10 33
10 32
9 31
8 30
7 29
7 28
6 27
5 26
4 26
3 26
2 25
2 24
2 23
1 22
0 21
1 21
0 20
1 20
0 19
1 19
0 18
1 18
0 17
1 17
0 16
# New slice
8 35
7 34
7 34
6 33
5 32
5 31
4 30
3 29
2 29
1 28
1 27
0 26
0 26
1 26
0 25
0 25
1 25
2 25
1 24
0 23
0 22
1 22
0 21
0 20
0 20
1 20
1 19
2 19
1 18
0 17
# New slice
14 32
15 32
16 32
17 32
17 32
17 33
18 33
18 33
19 33
20 33
21 32
22 31
23 30
24 30
24 31
24 30
25 30
24 30
25 30
24 30
25 30
24 30
24 29
25 29
25 30
24 30
25 30
24 30
24 31
24 30
# New slice
29 14
30 13
29 12
30 11
29 10
30 10
30 10
29 10
30 10
31 10
30 10
30 10
29 10
30 10
30 11
29 10
30 10
29 10
29 10
29 11
