#Observed Trajectory.
3 38
3 38
2 39
1 40
1 41
0 42
0 42
0 42
0 43
0 43
0 43
0 43
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 43
0 43
0 44
0 45
0 45
#Observed Trajectory.
30 34
30 34
30 35
30 36
31 37
32 37
33 38
33 38
34 39
35 40
35 40
36 41
37 41
37 42
38 42
39 43
39 43
40 44
41 45
41 45
42 46
43 46
44 47
45 48
45 48
45 49
45 49
45 49
45 49
45 49
#Observed Trajectory.
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
44 49
45 49
45 49
45 49
45 49
45 49
45 49
45 49
#Observed Trajectory.
27 49
27 49
27 49
27 49
27 49
27 49
27 49
27 49
27 49
27 49
27 49
27 49
26 49
26 49
25 49
25 49
25 49
25 49
25 49
25 49
26 49
26 49
26 49
26 49
26 49
26 49
26 49
26 49
27 49
27 49
#Observed Trajectory.
1 25
1 25
1 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 24
0 25
0 25
0 25
0 25
0 25
0 24
0 24
0 24
0 24
0 24
0 23
0 23
0 24
0 24
0 24
0 24
0 24
0 24
#Observed Trajectory.
45 6
45 6
46 6
47 6
48 5
49 4
49 4
49 4
49 4
49 4
49 4
49 4
49 4
49 4
49 4
49 3
49 2
49 1
49 1
49 1
49 1
49 1
49 1
49 1
49 1
49 1
49 1
49 1
49 1
49 1
#Observed Trajectory.
23 37
23 37
24 38
24 38
25 39
26 40
25 39
26 40
26 39
27 40
26 39
27 39
28 39
29 40
30 39
31 40
32 39
32 39
33 40
34 39
34 40
35 39
36 39
37 40
38 41
39 42
40 43
41 44
42 45
43 46
#Observed Trajectory.
13 25
13 25
12 25
12 26
11 26
11 27
10 27
9 27
8 27
8 26
7 26
7 26
7 27
6 27
5 27
4 27
3 27
3 26
3 25
3 26
3 25
2 25
2 24
1 24
0 24
0 24
0 23
0 23
0 23
0 23
#Observed Trajectory.
8 30
8 30
8 29
8 28
7 28
6 28
5 28
4 28
3 28
2 28
1 28
0 28
0 27
0 27
0 27
0 27
0 27
0 26
0 27
0 27
0 28
0 28
0 28
0 28
0 28
0 28
0 28
0 28
0 28
0 28
#Observed Trajectory.
27 31
27 31
28 32
29 32
30 33
31 34
32 34
33 35
34 36
35 37
36 38
37 39
38 40
38 41
39 42
40 43
40 44
41 45
42 46
43 47
44 48
45 49
45 49
45 49
45 49
45 49
45 49
45 49
46 49
46 49
#Observed Trajectory.
21 38
21 38
22 39
23 39
23 39
24 40
25 41
24 40
25 40
24 39
25 40
24 39
24 40
25 41
24 40
25 41
25 41
24 40
25 41
24 40
25 41
24 40
25 41
24 40
25 40
24 39
25 40
25 39
26 40
25 39
#Observed Trajectory.
2 21
2 21
1 21
1 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 20
0 19
0 19
0 19
0 19
0 18
0 17
0 17
0 17
0 18
0 18
0 18
#Observed Trajectory.
32 16
32 16
33 15
34 15
35 14
35 13
35 12
36 11
37 10
38 9
39 8
40 8
40 8
41 8
42 9
43 10
44 11
45 12
46 12
47 13
47 14
48 15
49 16
49 16
49 15
49 15
49 16
49 17
49 17
49 17
#Observed Trajectory.
34 4
34 4
34 4
35 3
36 2
35 1
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
34 0
34 0
33 0
33 0
33 0
33 0
33 0
32 0
#Observed Trajectory.
49 47
49 47
49 47
49 48
49 48
49 48
49 48
49 48
49 48
49 47
49 47
49 47
49 47
49 47
49 47
49 46
49 46
49 46
49 46
49 46
49 46
49 47
49 47
49 46
49 46
49 46
49 46
49 46
49 47
49 47
#Observed Trajectory.
12 15
12 15
12 14
11 14
10 14
9 14
9 15
8 15
7 15
7 14
7 13
6 13
5 13
5 14
4 14
3 14
2 14
1 14
2 15
2 14
1 14
2 14
2 15
1 15
0 15
0 15
0 15
0 15
0 15
0 15
#Observed Trajectory.
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 32
49 31
49 31
49 32
49 32
49 32
49 31
49 31
49 31
49 31
49 31
49 31
49 31
#Observed Trajectory.
23 15
23 15
22 14
22 13
21 12
20 11
19 10
18 9
17 8
17 8
17 8
16 7
17 8
16 7
17 8
16 7
17 8
16 7
17 8
16 7
17 8
16 7
16 8
16 8
17 8
16 7
16 7
17 8
16 8
16 8
#Observed Trajectory.
16 24
16 24
15 25
15 26
15 27
14 28
13 28
12 29
12 29
11 30
10 31
9 32
8 32
8 32
8 33
7 34
6 34
6 34
6 33
6 33
6 34
5 34
4 34
4 33
4 32
3 32
3 33
2 33
1 33
0 33
#Observed Trajectory.
18 42
18 42
19 42
18 42
18 42
18 42
19 42
19 42
18 42
19 43
18 43
17 43
16 43
15 43
16 43
15 43
16 44
15 44
14 44
15 45
15 45
14 45
14 44
15 45
14 45
13 45
14 45
13 45
14 45
13 45
#Observed Trajectory.
28 40
28 40
27 39
27 39
28 40
28 40
27 39
28 40
27 39
28 40
28 40
27 39
28 40
28 40
27 39
28 40
27 39
27 39
28 40
27 39
28 39
29 40
29 40
29 39
30 40
31 39
31 39
32 40
32 40
33 40
#Observed Trajectory.
3 4
3 4
2 4
1 4
1 5
0 5
0 6
0 6
0 6
0 6
0 6
0 6
0 7
0 7
0 7
0 7
0 7
0 6
0 6
0 6
0 7
0 7
0 7
0 7
0 7
0 7
0 7
0 8
0 8
0 8
#Observed Trajectory.
30 44
