#Observed Trajectory.
40 0
40 0
39 0
39 0
39 0
39 0
39 0
39 1
38 0
38 0
37 0
37 1
37 0
37 0
38 -1
38 0
38 -1
37 0
37 0
37 -1
37 0
37 0
38 0
38 0
37 0
36 0
36 0
36 0
36 0
35 0
#Observed Trajectory.
20 37
20 37
21 38
21 39
22 40
23 41
22 41
22 42
21 41
22 42
21 42
21 42
20 42
19 42
20 42
18 42
18 42
19 43
18 43
17 43
16 43
15 43
16 44
15 44
14 44
13 44
15 45
14 44
13 45
15 46
#Observed Trajectory.
28 19
28 19
28 18
28 17
29 16
30 16
31 15
31 14
32 13
33 12
34 11
35 11
36 10
37 9
38 8
40 7
40 7
40 6
41 6
41 7
42 8
43 9
44 10
45 11
46 12
46 13
47 12
47 13
47 14
49 15
#Observed Trajectory.
45 10
46 10
47 10
48 10
49 10
49 10
49 9
49 9
49 8
49 9
49 9
49 10
50 10
49 10
49 9
49 9
49 9
49 10
49 9
49 9
49 9
49 9
49 9
49 9
49 8
49 8
49 8
49 9
49 9
49 8
#Observed Trajectory.
15 25
15 24
14 26
14 27
13 28
12 29
10 29
10 29
9 29
8 29
7 29
6 29
6 30
5 30
4 30
3 30
3 29
2 29
2 30
1 30
0 30
0 30
0 30
0 30
0 30
0 30
0 30
0 30
0 30
0 30
#Observed Trajectory.
44 6
44 6
45 6
46 6
47 6
48 5
48 5
49 4
49 4
49 3
49 3
49 3
49 3
49 2
49 2
49 2
48 1
49 1
49 0
49 0
49 0
48 0
49 0
49 0
49 0
49 0
49 0
49 0
49 0
49 0
#Observed Trajectory.
38 30
38 30
39 31
40 32
41 33
42 34
43 35
44 36
45 37
46 38
46 39
47 39
48 40
49 41
49 41
49 42
49 43
49 43
49 43
49 44
49 43
49 44
49 44
49 44
49 42
49 43
49 43
49 43
49 43
49 43
#Observed Trajectory.
47 30
47 30
48 29
48 28
49 28
49 28
49 28
49 27
49 27
49 27
49 28
49 29
49 29
49 29
49 28
49 28
49 28
49 27
49 28
49 28
49 28
49 28
49 27
49 27
49 27
49 27
49 28
49 29
49 29
49 29
#Observed Trajectory.
47 13
48 12
48 13
48 13
48 13
49 13
49 14
49 14
49 14
49 14
49 15
49 16
49 16
48 16
49 16
49 16
49 16
49 16
49 15
49 17
49 17
49 18
49 18
49 18
49 18
49 19
49 18
49 19
49 18
49 17
#Observed Trajectory.
5 36
5 36
4 36
4 36
3 37
2 36
1 36
1 37
0 38
0 38
0 38
0 39
0 39
0 40
-1 40
0 40
0 40
0 40
0 41
0 40
0 41
0 42
0 41
0 41
0 41
0 41
0 41
0 41
0 42
0 42
#Observed Trajectory.
18 23
18 23
17 23
16 24
15 24
14 24
13 24
13 23
12 23
12 24
11 24
10 24
10 23
10 24
9 23
8 23
8 24
7 24
6 24
5 24
4 24
4 25
4 24
4 25
4 26
4 25
2 25
2 25
1 25
1 24
#Observed Trajectory.
46 39
46 39
47 40
48 41
48 41
49 42
49 42
49 43
49 44
49 44
49 44
49 43
49 45
49 45
49 44
49 44
49 44
49 43
49 44
49 44
49 44
49 44
48 44
49 44
49 45
49 45
49 45
49 46
49 46
49 46
#Observed Trajectory.
14 47
14 47
14 48
13 48
12 48
12 48
11 48
11 48
10 48
10 46
11 49
10 48
8 48
10 49
9 49
9 49
9 49
8 49
8 49
8 49
8 50
8 49
8 49
8 49
8 49
8 49
8 49
8 49
8 49
8 49
#Observed Trajectory.
34 37
34 37
35 38
36 39
37 40
37 40
38 40
39 41
39 42
40 43
41 44
43 45
43 46
44 47
45 47
46 48
46 49
46 49
46 49
47 49
47 49
47 49
48 49
47 49
47 49
47 49
47 49
47 49
47 49
47 49
#Observed Trajectory.
4 38
4 38
4 39
3 40
2 41
1 42
0 43
0 44
0 43
0 42
0 42
0 42
0 42
1 42
0 42
0 43
0 44
0 44
0 44
0 43
0 43
0 43
0 44
0 43
0 43
0 44
0 44
-1 45
0 45
0 44
#Observed Trajectory.
38 45
37 45
37 45
38 46
39 45
39 44
40 44
41 45
42 46
42 47
43 48
44 49
44 49
43 49
44 49
43 49
44 49
43 49
43 49
43 49
43 49
42 49
42 48
42 49
43 49
42 49
42 49
42 49
42 49
42 48
#Observed Trajectory.
19 29
19 29
19 30
18 31
17 32
16 33
16 33
15 34
15 34
14 35
14 35
13 36
12 37
12 38
13 39
13 40
14 41
15 41
16 42
16 43
15 43
16 44
15 44
14 44
14 44
15 45
15 45
15 44
14 44
15 45
#Observed Trajectory.
0 22
0 23
0 23
0 23
0 23
0 23
0 23
0 23
0 23
0 23
0 23
0 23
0 23
0 24
0 24
0 24
0 24
0 24
0 24
0 24
0 25
0 24
0 24
0 24
0 24
0 24
0 24
0 24
0 24
0 24
#Observed Trajectory.
13 30
13 30
12 31
12 32
11 33
10 34
9 35
8 36
8 37
9 38
8 39
9 40
10 41
11 42
12 43
12 43
12 43
13 44
14 45
13 45
13 45
14 46
13 46
12 46
11 46
11 47
11 47
11 46
11 46
12 47
#Observed Trajectory.
27 6
26 6
27 5
28 4
28 3
29 3
29 3
30 2
31 1
32 1
32 1
32 0
32 0
33 0
34 0
35 0
35 -1
36 0
36 0
36 0
36 1
37 0
37 -1
37 0
37 0
37 0
37 0
37 0
37 0
36 0
#Observed Trajectory.
25 23
25 23
26 24
26 24
27 25
28 26
29 27
30 28
31 29
32 30
33 31
34 31
35 32
36 33
37 34
38 35
39 36
40 37
41 37
41 38
41 38
41 38
42 39
43 40
44 40
45 41
46 42
47 43
48 44
48 44
#Observed Trajectory.
25 8
25 8
26 7
27 7
28 6
29 6
30 5
31 4
32 3
33 2
33 1
33 1
34 0
34 0
34 0
35 0
35 0
35 1
36 0
37 0
37 0
37 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
#Observed Trajectory.
7 3
7 3
6 4
5 5
4 6
3 7
3 8
2 9
1 10
1 10
2 12
3 12
4 12
5 13
5 12
5 12
5 13
5 12
3 12
5 13
5 12
4 12
4 13
3 13
4 14
3 14
1 14
2 15
1 15
1 14
#Observed Trajectory.
23 12
23 12
22 12
20 11
20 10
21 9
19 8
18 8
17 7
18 8
17 7
17 7
17 8
16 7
17 8
16 7
16 7
17 8
15 7
17 8
16 8
17 9
16 8
16 8
16 9
14 8
16 8
17 9
16 8
17 9
#Observed Trajectory.
20 40
20 40
21 41
22 42
21 42
20 42
20 43
20 43
19 43
18 44
18 43
17 44
16 45
16 45
15 45
14 45
13 45
14 46
13 46
12 46
11 46
11 47
11 46
11 47
12 47
11 47
10 47
11 48
10 48
9 48
#Observed Trajectory.
16 49
15 49
16 49
16 49
17 49
17 49
16 49
16 49
16 49
16 49
16 49
16 48
16 48
16 49
16 49
17 49
16 49
16 49
15 49
15 49
14 49
15 49
15 50
15 49
15 49
14 49
14 49
13 49
13 50
13 49
#Observed Trajectory.
9 26
9 26
8 26
8 27
7 27
6 27
5 27
4 27
4 26
4 26
2 26
1 26
0 26
0 26
0 26
0 26
0 26
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
0 25
#Observed Trajectory.
20 23
20 23
19 24
18 25
17 26
16 27
15 28
14 29
13 29
12 30
11 31
10 32
9 33
8 34
7 35
6 36
5 37
5 38
3 39
2 40
1 41
0 42
0 41
-1 42
0 42
0 42
0 43
0 43
0 44
0 43
#Observed Trajectory.
25 14
25 14
26 13
27 12
28 11
29 11
30 10
31 9
32 8
33 7
34 6
35 5
35 5
36 4
35 3
36 2
35 1
33 1
34 1
35 0
35 0
35 1
35 0
35 0
35 0
35 0
34 0
34 0
35 0
34 0
#Observed Trajectory.
9 6
9 6
10 6
11 7
11 8
12 9
11 9
12 10
11 9
11 10
11 10
10 10
10 9
12 10
10 10
9 10
8 10
7 11
8 12
8 11
7 11
6 11
5 11
6 12
5 12
4 12
5 13
4 13
3 13
4 14
#Observed Trajectory.
24 8
24 8
25 8
26 7
27 6
28 5
29 4
30 3
31 2
32 1
32 1
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
31 0
31 0
31 0
30 0
30 0
29 0
#Observed Trajectory.
19 19
19 20
19 19
18 19
18 20
17 20
16 20
15 20
14 20
13 20
12 20
11 20
11 19
10 19
9 19
8 20
8 20
8 21
7 21
6 21
4 21
4 21
4 21
3 21
3 20
2 20
2 20
1 21
1 20
0 20
#Observed Trajectory.
14 21
14 20
13 20
12 20
11 20
10 20
10 21
9 21
8 21
7 20
6 21
5 21
5 21
4 21
3 21
4 20
2 20
1 20
1 19
0 19
0 20
0 20
0 20
0 20
0 20
0 20
0 19
0 19
0 19
0 19
#Observed Trajectory.
8 34
8 34
7 35
7 35
6 36
6 37
5 38
4 38
3 39
2 40
1 41
0 42
0 42
0 43
0 42
0 42
0 42
1 42
0 42
0 42
0 42
0 42
0 42
0 42
0 41
0 41
0 41
0 41
0 41
0 41
#Observed Trajectory.
37 18
37 18
38 18
39 18
40 18
40 18
42 18
42 19
43 19
44 19
45 19
45 19
45 19
45 20
46 20
48 20
47 19
47 18
48 18
48 19
48 18
49 18
49 18
49 18
49 18
49 19
49 19
49 19
49 20
49 19
#Observed Trajectory.
39 34
39 34
39 35
40 36
41 37
41 38
43 39
42 39
44 40
45 41
46 42
46 42
47 43
47 43
48 44
49 45
48 46
49 45
49 46
49 46
49 47
49 47
49 47
49 47
49 47
49 48
49 48
49 48
49 48
49 49
#Observed Trajectory.
2 40
1 40
0 41
0 41
0 41
0 41
0 41
0 41
0 41
0 41
0 41
0 41
0 40
0 41
0 41
0 41
0 41
0 41
0 41
0 42
0 42
0 43
0 42
0 42
0 43
-1 43
0 43
0 43
0 44
0 44
#Observed Trajectory.
48 23
48 23
47 23
48 23
48 25
49 25
49 25
49 26
49 26
49 26
49 26
49 26
49 26
49 26
49 26
49 26
49 26
49 26
49 27
49 27
49 27
49 27
49 28
49 27
49 27
49 27
49 27
48 26
49 26
49 26
#Observed Trajectory.
46 26
46 26
47 26
48 26
49 26
49 27
49 27
49 27
49 28
49 27
49 27
49 28
50 28
49 28
49 28
49 28
49 28
49 28
49 28
49 28
49 28
49 28
49 29
49 28
49 29
49 29
49 28
49 30
49 29
49 29
#Observed Trajectory.
32 14
32 14
33 13
34 12
35 11
36 11
37 10
36 10
38 9
39 8
40 8
41 8
42 9
43 10
44 11
45 11
46 12
46 13
49 13
49 14
49 14
49 15
49 15
49 16
49 15
49 15
49 15
49 15
49 15
50 15
#Observed Trajectory.
43 46
43 46
44 47
45 48
46 49
46 49
47 49
47 49
48 49
48 49
47 49
47 49
48 49
47 49
47 49
46 49
46 49
46 49
46 49
46 49
46 49
45 49
45 50
45 49
46 49
45 49
45 49
45 48
45 49
45 49
#Observed Trajectory.
12 16
12 16
12 15
12 16
11 16
10 16
9 16
8 16
8 15
7 17
7 15
7 14
6 14
6 14
5 14
4 14
4 13
3 13
4 13
3 13
4 14
3 14
2 14
1 14
1 14
2 15
2 16
1 16
0 16
0 15
#Observed Trajectory.
20 22
20 22
19 23
18 24
17 25
17 25
16 26
15 27
15 27
15 28
14 29
13 29
12 30
11 31
10 32
9 33
8 33
7 34
6 34
6 35
5 35
4 34
4 34
4 34
3 34
2 34
2 33
1 33
1 34
0 34
#Observed Trajectory.
21 45
21 45
19 45
19 45
19 45
18 45
18 46
17 46
16 47
16 47
15 47
14 47
13 47
12 47
12 48
12 48
11 48
11 49
11 49
11 49
11 49
11 49
11 49
11 49
11 49
11 49
11 48
11 49
11 49
11 49
#Observed Trajectory.
23 25
23 25
23 26
22 27
21 27
20 28
19 29
18 30
17 31
17 32
17 33
