#Observed Trajectory.
26 46
25 46
24 48
23 47
22 49
21 49
22 50
21 49
20 49
20 49
19 50
21 50
20 48
20 49
22 50
21 48
20 48
21 49
20 49
20 49
21 49
21 49
21 48
23 48
22 49
22 48
22 49
23 50
21 49
22 49
#Observed Trajectory.
25 19
25 19
26 18
27 17
28 15
28 14
31 15
31 13
33 12
33 12
34 12
35 10
36 9
37 7
35 9
36 8
35 9
36 8
34 7
35 7
35 9
35 7
35 8
35 7
34 8
34 7
35 6
34 7
33 7
33 6
#Observed Trajectory.
27 40
27 40
26 40
25 40
23 37
23 37
22 36
23 35
21 34
21 34
20 34
19 34
17 35
17 36
16 37
17 38
16 38
16 39
14 39
15 40
13 41
15 42
14 42
16 41
15 44
14 43
15 44
14 45
15 43
13 45
#Observed Trajectory.
45 14
45 14
47 16
47 16
48 16
48 17
49 18
48 17
49 19
49 19
49 19
49 20
49 20
50 20
49 20
49 20
49 19
49 19
50 19
49 21
48 19
49 20
49 19
49 19
49 19
48 19
49 18
49 17
49 18
50 18
#Observed Trajectory.
29 42
28 42
28 42
26 40
26 40
25 39
24 38
23 37
23 37
22 37
21 37
20 35
20 33
18 36
18 34
17 35
18 35
17 36
17 36
16 37
16 39
14 38
13 39
13 40
15 40
15 42
14 43
14 43
13 46
14 47
#Observed Trajectory.
46 31
46 32
48 32
49 31
49 30
49 29
48 29
49 28
49 30
49 29
49 30
48 29
49 30
49 30
50 30
49 30
49 31
49 31
48 32
48 32
50 33
48 33
49 32
49 32
49 32
49 32
49 32
49 32
49 32
50 33
