# New slice
12 41
13 40
14 39
15 38
15 38
16 37
17 36
18 35
18 36
18 35
19 35
20 35
19 35
19 36
18 35
19 35
18 34
19 34
20 34
19 34
19 34
19 33
19 33
20 33
19 33
20 33
20 34
20 33
19 34
20 34
19 33
20 33
19 33
19 34
20 34
20 35
19 34
19 35
20 35
19 34
# New slice
40 47
40 47
39 46
39 46
38 46
37 46
36 45
35 44
34 43
33 43
33 43
32 42
31 42
30 42
29 41
28 40
27 39
26 38
26 37
26 36
25 35
24 34
24 33
23 34
22 34
21 34
20 34
19 34
20 34
20 34
19 34
19 33
20 33
20 33
19 34
19 33
20 33
20 33
20 34
20 33
# New slice
26 36
25 35
24 34
23 34
22 34
21 34
20 34
19 34
20 34
19 34
20 34
20 34
19 34
20 34
20 33
19 33
20 33
19 34
20 34
19 34
20 34
19 34
19 35
20 35
19 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
20 33
19 34
19 34
20 34
# New slice
35 3
34 4
33 5
32 6
32 7
32 7
31 8
30 9
30 9
30 10
30 10
29 11
28 12
27 13
26 14
26 15
26 15
25 16
24 17
23 18
22 19
21 20
20 21
20 22
19 23
19 23
20 23
19 24
20 24
19 24
20 24
20 23
20 24
20 23
19 24
19 24
20 24
20 24
20 25
19 25
# New slice
6 43
7 43
8 43
9 43
10 43
9 43
10 43
11 43
11 44
10 44
9 44
10 44
9 44
10 44
9 44
9 44
10 44
9 44
10 44
9 44
10 44
9 44
10 44
9 44
10 44
9 44
10 44
9 44
10 44
10 45
9 44
10 44
9 44
10 44
9 44
10 44
9 44
10 44
9 44
10 44
# New slice
0 7
1 7
0 7
1 7
0 7
1 7
0 7
1 7
1 7
1 6
1 7
1 8
0 8
1 8
0 8
1 8
0 8
1 8
1 7
0 7
1 7
0 7
1 7
0 7
1 7
0 7
1 7
0 7
1 7
1 8
0 8
1 8
0 8
0 9
1 9
1 8
0 8
1 8
0 8
1 8
# New slice
21 29
20 28
20 27
19 26
20 25
19 24
20 24
19 24
19 25
20 25
19 24
19 23
19 23
20 23
19 24
20 24
19 24
20 24
20 23
19 24
20 24
19 24
20 24
19 25
20 25
19 25
20 25
19 25
20 25
19 25
20 25
19 25
20 25
19 25
20 25
19 25
20 25
19 25
19 26
20 26
# New slice
7 21
7 21
8 21
9 21
9 22
10 22
10 22
10 23
11 23
12 23
13 23
14 23
14 22
14 22
15 23
16 23
16 24
17 24
18 24
19 24
20 24
19 24
19 23
20 23
19 24
20 24
19 25
20 25
19 25
20 25
19 25
20 25
20 25
19 25
20 25
20 24
19 24
20 24
20 25
20 26
# New slice
27 11
26 12
26 13
25 14
24 15
23 16
22 17
21 18
20 19
19 20
18 21
19 22
19 22
19 22
20 23
19 24
19 23
20 23
19 24
18 24
19 24
20 24
19 24
18 24
19 24
19 24
19 23
20 23
19 24
20 24
19 24
20 24
19 24
19 25
20 25
20 25
19 25
19 25
19 24
20 24
# New slice
19 21
19 21
18 21
19 22
19 23
19 24
20 24
19 24
19 24
20 24
19 24
20 24
20 23
19 24
19 23
20 23
19 24
19 25
19 24
20 24
19 24
20 24
20 24
19 24
20 24
19 24
20 24
19 24
20 24
19 24
20 24
20 24
20 23
19 23
20 23
20 23
19 24
20 24
19 24
20 24
# New slice
46 19
45 19
44 19
43 19
43 18
43 17
42 18
41 19
40 19
39 20
38 21
37 22
36 23
35 24
35 24
34 25
34 25
33 26
33 26
32 27
31 28
31 29
31 28
30 29
30 30
30 30
30 30
29 30
29 29
28 30
29 30
30 30
30 29
29 29
29 29
28 29
29 29
30 29
31 29
30 29
# New slice
15 31
16 31
17 31
18 32
19 32
20 32
20 33
19 34
20 34
19 34
20 34
19 34
20 34
20 34
19 34
20 34
19 34
19 33
19 34
20 34
19 34
19 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
20 34
19 34
20 34
19 34
19 33
20 33
19 34
# New slice
16 21
17 22
18 23
18 24
19 24
20 24
19 24
20 24
19 24
20 24
20 25
20 26
19 25
20 25
19 25
20 25
19 25
20 25
19 25
20 25
20 26
19 25
20 25
19 25
20 25
19 25
20 25
19 25
19 24
19 23
19 24
20 24
19 24
19 23
19 24
20 24
20 23
19 24
20 24
19 24
# New slice
29 21
29 21
28 21
27 21
27 21
26 22
26 23
25 23
24 24
23 24
22 24
21 24
20 24
20 25
20 24
19 24
20 24
19 24
20 24
19 24
20 24
20 25
20 26
19 25
20 25
20 24
20 23
19 24
20 24
19 24
20 24
19 24
20 24
19 24
20 24
19 25
19 25
20 25
19 25
20 25
# New slice
41 6
42 6
42 5
43 5
44 5
45 5
44 5
43 5
44 5
45 5
44 5
45 5
44 5
45 5
44 5
44 4
44 4
44 3
43 4
44 4
44 4
43 4
44 4
43 4
44 4
43 4
44 4
43 4
44 4
43 4
44 4
45 4
44 4
43 4
44 4
43 4
44 4
43 4
44 4
44 3
# New slice
5 48
5 47
5 46
6 46
6 46
6 46
7 45
8 45
9 45
9 44
9 45
10 45
10 45
9 44
10 44
9 44
9 44
9 43
9 43
10 43
9 43
10 43
10 43
9 43
9 42
10 42
11 42
12 42
13 41
14 40
14 40
14 40
15 39
16 38
17 37
17 36
18 35
19 35
19 35
20 35
# New slice
18 44
17 43
16 42
15 41
16 41
17 40
17 39
18 38
18 37
19 36
19 36
18 35
19 35
20 35
19 35
20 35
19 35
20 35
19 34
20 34
20 35
20 35
19 34
20 34
20 35
19 34
20 34
19 34
20 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
19 34
20 34
20 33
19 34
# New slice
22 11
21 11
21 11
20 11
19 12
19 13
18 14
17 15
16 16
15 17
15 18
16 18
17 19
18 20
18 20
19 21
18 22
19 23
20 23
19 24
20 24
19 24
20 24
19 24
20 24
19 24
20 24
20 25
19 25
20 25
20 25
19 25
20 25
19 25
20 25
20 24
19 24
19 24
19 25
19 26
# New slice
21 20
20 21
19 22
20 22
19 23
20 23
19 24
20 24
19 24
18 24
19 24
20 24
19 24
20 24
19 24
20 24
19 24
20 24
20 23
21 23
20 24
19 24
20 24
20 23
20 24
20 24
19 24
20 24
19 24
19 23
20 23
20 24
19 24
20 24
21 24
21 24
21 25
21 26
20 25
19 25
# New slice
47 47
46 46
45 45
44 44
43 43
43 43
42 42
42 41
41 40
40 39
39 39
38 38
37 37
36 36
35 35
35 35
34 35
33 34
32 33
31 32
30 32
29 31
28 30
29 30
29 31
29 30
29 29
29 30
30 30
29 30
29 31
28 30
29 30
30 30
29 30
30 30
29 30
30 30
29 30
29 30
# New slice
4 1
4 0
5 0
4 0
4 1
3 1
