#Observed Trajectory.
37 36
36 35
35 34
34 33
33 32
32 31
31 30
32 29
33 29
34 28
35 27
36 26
35 24
35 25
36 24
37 24
38 23
38 22
39 21
38 20
39 20
41 20
41 21
41 21
40 20
40 21
39 20
40 20
39 20
40 19
40 20
40 20
39 20
40 20
39 20
40 20
39 20
39 20
40 20
40 19
#Observed Trajectory.
30 5
29 5
29 6
28 6
27 6
27 6
26 6
25 6
25 6
24 6
23 6
22 6
21 6
20 6
20 5
20 6
19 6
18 6
17 6
16 6
15 6
14 6
13 6
12 6
12 7
11 7
11 7
10 8
9 9
8 9
7 8
7 9
7 8
6 8
5 10
4 10
5 10
4 10
5 10
4 10
#Observed Trajectory.
36 35
35 34
35 34
34 33
35 32
33 31
32 30
33 30
33 30
32 29
33 28
34 27
35 26
36 25
38 24
38 23
39 23
38 21
39 20
39 21
40 20
39 20
40 20
39 20
39 19
39 20
40 20
40 19
39 19
39 21
39 20
39 19
39 20
40 20
39 20
40 20
39 20
40 20
38 20
39 19
#Observed Trajectory.
39 2
40 2
40 3
38 4
37 5
37 5
37 5
37 6
36 7
35 8
34 8
33 9
32 10
33 11
34 12
35 13
35 14
36 15
37 16
38 17
39 18
39 19
38 19
39 20
39 20
40 20
39 20
39 20
40 20
40 20
39 20
39 21
39 20
40 20
39 20
40 20
39 20
38 21
39 21
39 20
#Observed Trajectory.
31 9
30 10
31 11
32 12
33 13
34 14
35 15
36 16
37 17
38 18
39 19
39 18
39 20
40 20
40 19
39 20
39 19
39 19
39 20
40 20
39 20
39 21
39 20
39 19
39 20
39 21
39 19
38 20
39 21
39 19
39 20
39 19
39 20
40 20
39 19
39 21
38 21
39 20
39 21
39 20
#Observed Trajectory.
20 14
21 13
20 13
19 13
18 13
18 12
17 12
16 12
15 12
15 12
13 12
13 12
12 12
12 12
12 11
11 11
10 11
9 11
7 10
7 10
6 10
5 10
4 10
5 10
5 10
4 10
5 10
5 9
4 9
4 9
5 9
4 9
5 9
4 9
5 9
4 9
5 9
4 9
5 9
4 9
#Observed Trajectory.
24 6
25 7
23 7
22 7
21 7
20 8
19 7
18 7
18 6
17 6
16 6
15 6
15 5
15 5
14 5
13 5
12 6
12 6
12 6
11 7
10 8
9 9
9 8
8 9
7 9
6 9
5 9
4 9
5 9
5 10
4 10
5 10
4 9
6 9
5 10
5 9
4 9
5 9
5 8
4 9
#Observed Trajectory.
16 39
15 38
14 37
13 36
13 35
12 36
11 34
11 34
10 33
11 33
10 32
10 33
11 33
10 32
9 33
11 33
10 32
10 33
11 33
10 32
11 31
12 31
13 30
14 29
15 28
15 28
16 27
15 26
15 26
14 25
15 25
14 24
15 24
16 24
15 23
14 23
14 24
14 23
14 22
12 21
#Observed Trajectory.
35 4
34 5
33 6
32 7
31 7
30 8
29 7
30 9
31 10
32 11
32 12
33 13
34 14
35 15
36 16
37 17
38 18
39 19
39 20
40 20
39 20
40 20
39 20
40 20
40 20
39 20
40 20
40 21
39 20
40 20
38 20
40 20
37 21
38 19
39 20
39 19
40 19
39 20
40 20
39 20
#Observed Trajectory.
11 14
10 13
9 12
9 12
8 12
7 11
6 10
5 10
4 10
5 10
5 10
5 10
4 10
5 10
4 10
5 10
5 9
5 10
4 10
4 10
6 10
6 9
6 9
5 9
4 9
5 9
5 10
4 10
5 10
4 11
5 10
4 10
5 10
4 10
4 12
3 10
4 10
4 10
5 9
4 10
#Observed Trajectory.
44 3
43 4
42 5
41 6
40 7
39 8
38 9
37 11
36 11
35 12
35 13
36 14
36 15
36 16
36 17
37 18
38 19
40 20
38 20
38 19
40 20
39 19
39 21
38 21
39 20
40 20
39 20
41 20
40 19
40 19
39 20
40 20
39 20
39 20
40 20
40 21
39 20
40 20
39 20
40 20
#Observed Trajectory.
8 25
7 24
7 23
7 23
6 22
5 21
5 20
5 21
4 20
3 19
2 18
2 18
1 17
1 16
1 15
2 14
3 14
4 13
5 12
4 11
5 11
4 10
4 11
5 11
4 10
5 10
4 11
5 11
4 11
4 11
5 11
3 10
4 10
4 11
5 11
5 9
4 9
5 9
5 10
4 10
#Observed Trajectory.
7 2
6 2
5 2
4 4
3 5
3 6
2 6
3 7
5 7
4 7
5 8
4 9
5 9
4 9
5 10
4 10
5 10
4 10
5 10
4 10
5 10
4 10
5 10
5 11
4 10
5 10
4 11
5 10
5 11
3 10
4 10
4 10
6 9
4 9
5 9
4 9
4 10
4 10
5 11
3 10
#Observed Trajectory.
27 42
26 41
25 40
24 39
23 38
22 37
22 38
21 36
20 36
19 35
18 34
18 34
19 33
19 32
18 32
19 31
17 31
20 30
18 29
17 28
16 27
16 26
14 25
14 25
14 25
15 25
15 24
16 24
17 23
16 22
15 21
15 21
14 21
13 20
12 19
12 18
11 17
10 16
9 15
8 14
#Observed Trajectory.
0 33
1 33
2 33
3 33
4 33
5 33
5 34
5 33
5 32
7 32
7 32
7 31
7 32
7 31
7 31
8 31
8 31
9 31
9 30
10 29
11 28
12 27
13 26
14 26
15 26
14 25
15 25
15 24
15 24
15 24
15 23
16 23
15 22
15 21
14 20
13 19
12 18
11 17
10 16
9 15
#Observed Trajectory.
39 25
37 25
