# New slice
40 1
39 2
38 3
39 4
40 4
39 5
39 4
39 5
39 6
40 6
39 5
40 5
39 5
40 5
39 5
40 5
39 5
39 5
40 5
39 5
40 5
39 5
40 5
39 5
40 5
40 6
39 5
39 5
40 5
40 6
40 5
39 5
40 5
39 5
40 5
39 5
40 5
39 5
39 4
40 4
# New slice
47 38
46 38
46 37
45 37
44 37
43 37
42 37
42 36
41 36
40 36
39 36
38 36
37 36
36 36
35 36
34 36
34 36
34 37
33 37
32 37
31 37
30 37
29 37
29 38
28 38
27 38
26 38
25 38
24 38
23 38
22 38
22 39
22 38
21 38
21 38
20 38
20 38
19 37
18 36
17 35
# New slice
17 18
16 19
15 19
14 19
13 19
12 19
11 20
10 21
9 22
9 22
8 23
7 24
7 25
6 26
5 27
4 28
3 29
2 30
1 30
0 30
1 30
1 30
1 31
1 30
0 30
1 30
0 30
1 30
0 30
1 30
0 30
1 30
1 29
0 30
0 30
0 31
1 31
0 30
1 30
0 30
# New slice
17 13
16 14
16 14
15 15
14 16
13 17
12 18
11 19
10 20
9 21
8 22
7 22
6 23
6 24
5 25
4 26
4 26
4 26
4 27
3 28
2 29
1 30
0 30
1 30
2 30
1 30
0 30
0 29
1 29
0 29
1 29
0 30
1 30
1 30
0 30
1 30
0 30
1 30
0 30
0 31
# New slice
23 4
24 4
25 4
25 5
24 5
25 5
24 5
24 5
25 5
25 6
24 6
25 6
26 6
25 5
24 5
25 5
24 5
25 5
25 5
24 5
25 5
25 5
24 5
25 5
24 5
25 5
24 5
23 5
23 6
24 6
25 6
24 5
24 6
25 6
24 5
24 4
25 4
25 4
24 4
25 4
# New slice
32 10
33 10
34 10
34 11
34 12
33 11
34 11
35 11
34 10
35 10
34 9
34 10
34 10
34 9
35 9
34 9
35 9
35 9
35 8
34 9
35 9
34 9
34 9
35 9
34 9
35 9
34 9
35 9
34 9
34 9
35 9
35 8
34 9
35 9
34 9
35 9
34 9
34 9
35 9
34 9
# New slice
2 43
1 42
0 41
1 41
1 40
0 39
0 39
0 39
1 39
0 38
1 38
0 37
0 38
1 38
1 38
1 37
0 36
1 36
0 35
1 35
0 34
1 34
1 34
1 34
0 33
1 33
0 32
1 32
0 31
1 31
0 31
0 30
1 30
0 30
1 30
1 29
0 30
0 30
1 30
1 31
# New slice
34 37
33 37
32 37
31 37
30 37
29 37
29 37
29 38
28 38
28 37
28 38
27 38
27 37
27 36
27 36
27 37
26 37
25 37
24 37
23 37
22 37
21 37
21 37
21 37
21 38
20 37
19 36
19 36
18 35
18 34
17 34
17 33
16 33
15 33
14 33
13 33
12 33
11 33
10 33
9 33
# New slice
13 0
13 0
13 1
13 0
14 0
14 1
13 1
12 1
12 0
12 1
11 1
10 1
9 1
8 1
7 1
6 1
5 1
4 1
4 0
3 0
3 1
2 1
2 0
2 1
1 1
1 1
0 1
0 2
1 2
0 2
1 2
0 2
1 2
0 2
1 2
0 2
0 3
0 4
0 4
1 4
# New slice
39 39
38 39
38 40
37 40
37 40
36 40
36 39
36 39
35 39
34 39
33 39
32 39
31 39
30 39
29 39
28 39
27 39
26 39
26 39
25 39
25 40
25 39
24 39
23 39
22 39
21 39
20 38
19 37
18 36
17 35
16 35
16 36
15 35
14 35
13 35
12 35
11 35
10 35
9 34
8 33
# New slice
32 3
31 3
31 3
30 3
29 3
28 3
27 4
27 5
26 5
25 5
24 4
25 4
26 4
25 4
24 4
25 4
24 4
25 4
24 4
24 3
25 3
24 4
25 4
25 3
24 4
25 4
24 4
25 4
24 4
24 4
25 4
25 5
24 5
24 6
25 6
24 6
25 6
25 5
24 5
25 5
# New slice
41 15
40 14
39 13
38 13
37 12
36 11
36 10
35 10
34 10
34 10
35 10
36 10
35 10
34 10
35 10
35 10
34 10
34 10
35 10
34 10
35 10
34 10
35 10
34 9
34 8
35 8
34 9
35 9
34 9
34 9
35 9
34 9
34 9
35 9
34 9
34 8
34 9
35 9
35 8
34 8
# New slice
40 23
39 22
38 21
37 20
37 19
36 18
35 17
34 16
33 15
32 14
33 13
34 12
33 12
33 11
34 11
33 10
34 10
35 10
34 10
34 9
35 9
35 8
34 9
35 9
34 9
35 9
35 8
34 9
35 9
34 9
35 9
35 9
35 9
34 9
34 9
35 9
34 9
35 9
34 9
35 9
# New slice
43 30
42 30
42 31
41 31
41 32
41 32
40 32
39 32
38 32
37 32
36 32
36 32
35 32
34 32
34 33
33 33
32 33
32 32
31 32
30 32
30 31
29 31
29 30
28 30
28 29
28 30
27 30
27 30
26 30
25 30
24 30
23 30
22 30
21 31
21 31
20 32
19 33
19 33
18 34
18 33
# New slice
20 25
19 25
18 25
17 25
17 24
17 24
16 24
15 24
15 25
15 24
14 24
14 24
13 24
12 24
12 25
12 24
11 24
10 24
9 24
8 24
7 25
6 26
6 27
5 28
4 29
4 29
3 29
3 30
2 30
1 30
0 30
1 30
0 30
1 30
0 30
0 30
1 30
0 30
0 29
1 29
# New slice
42 40
42 39
42 39
42 39
42 38
41 38
40 38
39 38
38 38
37 38
37 39
37 39
37 40
36 40
36 40
36 41
35 41
34 41
33 41
32 41
31 40
30 40
29 39
28 39
27 39
27 38
27 39
26 39
26 39
26 40
25 39
25 38
24 38
23 38
23 37
23 36
23 36
23 37
22 37
21 37
# New slice
37 35
36 35
35 35
34 35
33 35
33 34
33 35
32 35
31 35
30 35
29 35
28 35
27 35
27 36
26 36
25 36
25 36
24 36
23 36
22 36
22 36
21 36
21 37
20 37
19 36
19 36
19 36
18 35
17 35
16 35
16 34
15 34
15 33
15 33
15 32
14 32
13 32
12 32
12 31
11 31
# New slice
48 8
47 7
46 7
46 8
46 8
45 7
45 7
44 6
43 6
42 6
42 6
42 5
41 5
40 5
39 5
40 5
39 5
39 4
39 5
40 5
40 4
39 5
40 5
39 5
40 5
39 5
40 5
40 5
40 4
39 5
40 5
39 5
40 5
39 5
39 4
39 5
40 5
39 5
39 5
39 6
# New slice
27 44
26 44
25 43
24 43
23 42
22 41
21 40
20 39
19 39
19 39
18 38
17 37
16 36
15 35
14 35
14 34
13 34
12 34
12 35
11 35
10 35
10 35
9 34
8 33
7 32
6 31
5 31
5 31
4 31
3 30
2 30
1 30
1 31
1 32
1 32
0 31
1 31
1 30
1 29
0 30
# New slice
8 41
7 40
6 39
5 38
4 37
3 36
2 36
1 35
0 34
0 33
0 33
0 33
0 34
1 34
0 33
0 34
1 34
1 34
0 33
1 33
0 32
1 32
0 31
1 31
0 30
1 30
0 30
1 30
0 30
1 30
1 29
0 30
1 30
1 29
1 29
0 30
0 31
0 30
1 30
0 30
# New slice
25 42
24 41
23 40
23 39
22 38
21 38
20 37
19 37
18 36
17 35
16 35
16 35
15 35
15 36
14 35
13 35
13 35
12 35
11 35
11 36
10 35
9 34
9 33
9 33
8 33
7 32
6 32
6 31
5 31
5 30
4 30
3 31
2 31
2 31
1 30
1 31
0 30
0 30
1 30
0 30
# New slice
40 2
39 3
38 4
39 4
40 4
39 5
39 6
40 6
39 5
40 5
40 6
39 5
39 6
40 6
40 5
39 5
40 5
39 5
40 5
40 6
39 5
40 5
39 5
40 5
40 4
39 5
40 5
40 6
39 5
40 5
39 5
40 5
39 5
40 5
39 5
39 6
40 6
39 5
40 5
39 5
# New slice
36 43
35 42
34 41
33 41
32 41
31 41
30 41
29 41
28 40
28 40
27 39
26 39
25 39
24 39
23 39
23 39
22 39
22 39
21 38
21 37
21 37
20 37
19 36
18 35
17 35
16 35
17 36
16 35
15 35
14 35
13 35
12 35
12 35
11 35
10 35
9 34
8 33
7 32
6 31
6 32
# New slice
17 11
17 11
17 11
16 12
15 13
14 14
13 15
12 16
11 17
10 18
10 18
9 19
8 20
7 21
6 22
5 23
4 24
3 25
2 26
1 27
0 28
1 28
0 28
1 28
0 29
1 29
0 30
1 30
0 30
0 29
1 29
0 30
0 31
1 31
0 31
1 31
1 30
1 31
0 30
1 30
# New slice
45 11
44 10
43 9
42 8
41 7
40 7
39 7
38 6
39 5
40 5
39 6
40 6
39 6
40 6
40 6
39 5
39 4
40 4
39 5
40 5
39 5
40 5
40 4
39 5
40 5
39 5
40 5
40 5
40 5
40 5
39 5
39 4
39 4
40 4
39 5
40 5
39 5
39 5
38 5
39 5
# New slice
15 46
15 46
14 45
13 44
12 43
12 43
11 42
10 41
10 41
9 40
9 39
8 38
7 37
7 36
6 35
6 35
6 35
5 35
5 34
5 33
4 32
3 31
2 30
1 30
1 31
0 30
1 30
0 30
0 29
1 29
0 30
1 30
0 30
1 30
0 30
1 30
0 30
0 31
1 31
1 31
# New slice
25 38
24 38
24 38
23 38
22 38
21 38
20 37
20 37
20 37
19 36
18 35
17 35
16 35
16 35
15 35
14 35
14 36
13 36
13 36
12 35
11 35
11 34
10 34
9 34
8 33
7 32
7 31
7 30
7 29
6 29
6 29
5 29
4 29
3 30
2 30
2 29
1 30
2 30
1 30
1 29
# New slice
34 8
35 8
34 8
34 8
35 8
34 9
35 9
34 9
35 9
34 9
35 9
34 9
35 9
34 9
34 9
34 10
35 10
35 11
35 10
34 10
35 10
34 10
35 10
35 9
34 9
34 10
35 10
35 9
34 9
35 9
34 9
34 10
35 10
34 10
35 10
34 10
35 10
35 9
35 10
34 10
# New slice
40 17
39 16
38 15
37 14
36 14
36 14
35 13
35 12
34 11
35 11
35 10
35 11
34 11
34 10
35 10
34 10
33 10
34 10
35 10
34 10
35 10
34 10
35 10
35 10
34 10
35 10
34 10
35 10
34 10
33 10
33 11
33 11
33 11
34 11
35 11
34 10
35 10
34 10
34 11
33 10
# New slice
14 42
14 42
13 42
12 41
11 40
11 39
11 38
10 37
9 36
8 35
7 34
6 34
5 33
5 32
4 31
3 30
2 30
2 29
2 29
2 30
1 31
0 30
1 30
0 31
1 31
0 30
1 30
0 30
1 30
0 30
1 30
2 30
1 30
0 30
0 31
1 31
0 30
1 30
1 29
1 29
# New slice
34 28
33 28
33 27
32 27
32 27
31 27
31 27
30 27
30 27
30 26
29 26
29 26
28 26
27 26
26 26
25 26
24 26
23 26
22 26
21 26
20 26
19 26
18 26
17 26
16 26
16 26
15 26
14 26
13 26
12 26
11 26
10 26
9 26
8 26
7 26
6 27
6 27
5 28
4 28
3 29
# New slice
46 36
45 36
44 36
44 37
43 37
42 37
41 37
40 37
39 37
38 37
37 37
36 37
36 38
35 38
34 38
33 38
32 38
31 38
31 38
30 38
29 38
29 39
28 39
28 40
28 40
27 39
27 38
26 38
25 38
24 38
23 38
23 38
22 38
22 39
22 38
22 39
21 38
20 38
19 37
18 37
# New slice
25 47
24 46
23 45
22 44
21 43
21 43
21 43
20 43
19 42
18 41
17 40
16 39
15 38
14 37
13 36
13 36
12 35
11 35
10 35
9 34
8 34
7 33
6 32
5 31
4 31
3 30
2 30
1 30
0 30
0 30
1 30
0 30
1 30
0 30
1 30
1 30
1 31
0 30
0 31
1 31
# New slice
12 7
11 7
11 7
10 7
9 7
8 7
7 7
6 6
6 6
5 6
4 6
4 5
3 5
3 4
2 4
1 4
0 4
1 4
0 4
1 4
0 4
1 4
0 4
0 5
1 5
0 5
1 5
1 5
1 5
0 5
1 5
0 5
1 5
0 5
1 5
1 4
1 3
0 3
1 3
0 3
# New slice
41 13
40 12
39 11
38 10
38 10
37 10
36 10
36 9
36 10
35 10
35 10
34 10
35 10
34 10
35 10
35 10
34 10
35 10
34 10
35 10
35 11
36 11
35 10
34 10
35 10
34 10
35 10
34 10
35 10
34 10
35 10
35 9
35 8
35 8
34 9
35 9
34 9
35 9
34 9
34 8
# New slice
20 42
20 41
19 40
19 40
18 39
18 39
17 38
16 37
15 36
15 35
14 35
13 35
13 34
12 34
11 34
11 33
10 33
10 33
9 33
8 33
7 32
7 32
7 31
6 31
6 31
6 31
6 30
5 30
4 30
4 30
4 29
3 30
2 30
1 30
0 30
1 30
0 30
0 31
0 30
0 30
# New slice
12 33
11 33
10 33
9 33
8 33
8 33
7 32
6 31
6 30
5 30
4 30
3 30
2 30
1 30
0 30
1 30
1 30
0 30
1 30
0 30
1 30
0 30
1 30
0 30
1 30
0 30
1 30
0 30
1 30
0 30
1 30
2 30
1 31
0 30
1 30
0 30
0 30
1 30
0 30
1 30
# New slice
13 1
12 1
11 1
11 2
10 2
9 2
8 2
8 2
7 2
6 2
5 2
4 2
3 2
2 2
1 2
0 2
1 2
0 2
0 2
1 2
1 1
0 1
1 1
0 1
1 1
0 1
1 1
0 1
0 1
0 0
1 1
0 1
0 0
0 0
0 1
1 1
0 1
1 1
0 1
1 1
# New slice
29 16
28 16
27 16
26 16
25 16
24 16
23 16
22 16
22 16
22 16
21 16
20 16
19 16
18 17
17 18
17 19
16 19
16 18
15 19
14 19
13 19
12 19
12 19
12 20
11 21
10 22
9 23
8 24
8 25
7 25
7 25
6 26
5 27
5 28
4 29
3 29
2 30
1 30
0 30
1 30
# New slice
41 26
40 26
39 26
38 26
37 26
36 26
35 26
34 26
33 26
32 26
31 26
30 26
29 26
28 26
27 26
26 26
26 26
25 26
24 26
23 26
23 26
22 26
22 27
21 27
20 27
19 27
18 27
18 27
17 27
16 27
16 27
15 27
14 27
13 27
12 27
12 26
11 26
10 26
9 26
8 26
# New slice
25 16
24 16
24 16
23 16
22 16
23 15
22 15
22 16
21 16
21 16
20 16
19 16
18 17
18 18
17 18
16 19
16 19
15 19
15 19
15 18
14 19
13 19
13 20
12 20
11 20
11 20
11 21
10 22
9 23
9 24
8 24
7 25
6 26
5 27
4 28
3 29
2 30
1 30
0 30
0 29
# New slice
3 11
2 11
1 11
1 12
0 12
