#Observed Trajectory.
16 27
16 26
16 25
16 25
17 25
18 25
19 25
20 25
19 25
20 25
19 25
19 26
18 26
19 26
18 25
18 25
19 25
20 25
20 24
19 24
20 24
20 24
19 24
19 23
20 23
19 23
20 23
20 22
21 23
21 21
21 21
21 21
21 22
21 21
23 21
23 21
24 22
24 20
25 19
25 18
#Observed Trajectory.
37 4
35 5
34 6
33 7
32 8
31 8
32 9
30 9
29 9
29 9
31 9
31 8
30 8
30 10
29 10
29 11
30 11
29 10
30 10
30 11
29 10
29 9
29 10
30 10
30 11
29 10
30 10
29 11
29 10
30 10
29 10
29 10
30 10
29 10
29 11
29 12
29 12
28 11
28 12
29 12
#Observed Trajectory.
2 39
1 39
0 39
1 39
0 39
0 39
1 39
1 39
0 39
1 39
1 40
0 40
1 40
0 40
1 40
1 40
0 40
1 40
1 40
0 39
1 40
1 40
0 40
0 40
1 40
0 40
1 40
0 39
1 40
1 39
1 38
0 38
1 38
1 37
0 38
1 38
1 38
1 39
1 38
1 37
#Observed Trajectory.
3 45
4 45
5 45
6 45
7 45
8 45
9 45
9 44
10 44
10 43
11 43
11 42
12 43
12 42
13 43
14 43
14 43
16 43
15 43
14 44
15 44
15 45
15 44
14 44
14 43
15 43
14 44
14 43
14 44
15 44
14 44
14 44
15 44
14 44
14 45
14 46
13 46
11 44
13 44
14 44
#Observed Trajectory.
34 40
34 40
35 40
34 39
34 39
35 38
34 37
34 37
34 36
34 36
35 35
36 34
37 33
38 32
39 31
38 30
39 29
40 29
40 29
39 30
40 29
38 29
39 29
40 29
39 29
39 28
39 29
40 29
39 28
40 29
40 28
40 29
40 30
40 29
38 29
39 29
40 29
39 29
39 30
40 30
#Observed Trajectory.
32 11
31 10
30 10
30 10
29 11
31 11
31 10
30 10
29 10
29 11
30 11
29 10
30 10
30 11
29 10
29 11
30 11
29 10
30 10
30 9
29 9
30 9
30 8
29 9
29 10
29 10
30 10
29 10
29 10
29 10
29 11
30 11
29 10
29 10
29 10
30 9
30 10
29 10
30 10
30 10
#Observed Trajectory.
14 29
13 28
13 29
12 29
11 29
10 29
10 29
8 29
7 29
7 30
6 31
5 32
4 33
4 33
3 34
3 34
2 35
2 36
1 36
0 37
1 37
0 38
0 38
1 38
1 38
0 38
1 38
0 38
1 38
0 38
1 38
0 38
2 38
0 39
1 39
0 39
0 39
2 39
1 39
1 39
#Observed Trajectory.
39 39
38 40
37 39
36 38
35 37
34 36
35 35
35 35
36 34
37 33
37 32
38 31
39 31
39 30
40 29
38 29
40 29
38 29
38 28
39 29
39 29
40 29
40 28
40 28
39 29
41 29
40 28
39 29
39 30
39 29
39 30
39 29
39 29
41 29
41 30
40 30
41 29
39 29
40 29
39 29
#Observed Trajectory.
15 7
16 7
17 6
18 7
19 7
20 7
22 7
22 7
23 7
23 7
24 7
25 7
24 8
26 8
27 9
28 8
27 8
28 9
29 9
30 9
29 9
31 9
29 9
30 9
29 8
28 10
29 10
31 10
29 10
29 9
29 9
30 9
29 9
29 9
29 8
28 9
29 9
30 10
29 9
30 9
#Observed Trajectory.
40 25
39 25
38 26
39 27
38 28
39 29
40 29
39 29
39 28
39 29
39 30
40 29
39 28
39 29
40 29
39 28
