#Observed Trajectory.
29 17
29 17
30 16
31 15
31 14
32 13
33 13
34 12
35 11
36 10
37 10
38 9
39 8
40 9
41 10
41 11
42 12
41 13
42 14
43 15
44 16
45 17
46 18
47 19
48 20
49 21
49 22
49 23
49 24
49 25
#Observed Trajectory.
42 20
42 20
42 21
43 22
44 23
45 23
46 24
47 25
48 26
49 27
49 28
49 27
49 28
49 27
49 28
49 28
49 27
49 28
49 27
49 27
49 27
49 28
49 27
49 27
49 28
49 27
49 28
49 27
49 27
49 28
#Observed Trajectory.
29 20
29 20
30 21
31 22
31 23
32 24
33 25
33 26
34 27
35 28
36 29
37 30
38 31
39 32
40 33
40 33
40 34
41 35
41 35
42 36
43 37
44 38
45 39
46 40
47 41
48 42
48 42
48 43
49 43
49 44
#Observed Trajectory.
36 24
36 24
37 25
38 26
39 27
40 28
41 29
42 30
43 31
43 31
44 31
45 30
45 30
46 29
47 28
48 29
49 29
49 28
49 28
49 27
49 27
49 28
49 27
49 28
49 28
49 27
49 28
49 28
49 28
49 27
#Observed Trajectory.
39 38
39 38
40 38
41 39
40 40
41 41
41 42
42 43
42 44
43 45
44 46
45 47
46 48
47 49
48 49
48 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
#Observed Trajectory.
33 21
33 21
34 21
35 22
36 23
37 24
38 24
39 25
41 25
41 27
42 27
42 28
42 29
43 30
44 31
45 30
46 29
47 28
48 29
49 28
49 27
49 28
49 27
49 28
49 28
49 28
49 27
49 28
49 27
49 27
#Observed Trajectory.
32 28
32 28
33 29
34 30
34 31
35 32
35 33
35 33
36 34
37 35
38 36
39 37
40 37
41 38
42 39
42 39
43 40
44 41
44 41
44 41
45 42
46 43
47 44
48 45
49 46
49 47
49 48
49 48
49 48
49 49
#Observed Trajectory.
35 36
35 36
35 36
36 37
37 36
38 37
39 38
40 38
41 39
40 40
41 41
42 41
41 42
42 43
43 44
44 45
45 46
46 47
46 48
47 49
48 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
49 49
#Observed Trajectory.
34 12
34 12
34 11
35 10
36 9
37 8
38 7
39 6
40 5
41 4
42 3
42 3
43 2
43 2
44 1
45 1
45 1
46 1
46 0
47 0
48 0
49 0
49 0
49 0
49 0
49 0
49 0
49 0
49 0
49 0
#Observed Trajectory.
21 26
21 26
20 27
19 28
18 29
17 29
16 30
15 31
14 32
14 32
13 33
12 34
11 35
10 36
9 36
8 37
7 38
7 39
7 39
7 39
6 40
5 41
4 42
3 43
3 44
4 45
3 45
4 46
3 45
4 46
#Observed Trajectory.
23 43
23 43
22 43
22 44
21 44
21 44
20 45
19 46
18 46
17 47
16 47
15 48
15 48
14 49
13 48
12 47
11 46
10 47
9 46
8 45
7 46
6 45
6 46
5 45
4 46
3 45
4 46
3 46
3 45
4 46
#Observed Trajectory.
46 17
46 17
47 17
48 18
48 18
48 18
48 18
49 19
49 20
49 21
49 22
49 23
49 24
49 25
49 26
49 27
49 28
49 27
49 28
49 27
49 28
49 28
49 28
49 28
49 27
49 27
49 27
49 28
49 27
49 27
#Observed Trajectory.
36 14
36 14
37 13
38 12
38 12
39 11
40 10
41 11
42 11
41 12
42 13
43 13
42 14
43 14
44 15
45 16
46 17
47 17
48 18
48 19
48 19
48 19
49 20
49 21
49 22
49 23
49 24
49 24
49 25
49 26
#Observed Trajectory.
10 32
10 32
