#Observed Trajectory.
39 19
40 19
41 19
41 20
42 20
43 20
44 20
45 20
45 20
46 20
47 20
47 20
48 21
49 20
49 20
49 20
49 20
49 20
49 20
49 20
49 21
50 21
48 21
49 21
49 21
49 21
49 21
49 20
49 20
49 19
#Observed Trajectory.
11 31
10 33
9 34
8 35
7 36
6 38
5 38
4 39
3 40
2 41
1 42
1 43
0 43
0 44
1 43
0 43
0 43
0 43
0 43
0 43
0 43
0 43
0 42
0 42
0 43
0 42
0 43
0 43
0 43
-1 43
#Observed Trajectory.
22 17
21 16
20 15
19 14
18 13
17 12
16 11
15 10
14 9
13 8
14 8
14 9
13 9
13 10
12 8
13 9
11 8
13 9
12 8
13 9
12 8
13 9
13 9
12 8
12 8
13 9
12 8
13 9
13 8
13 9
#Observed Trajectory.
30 3
31 2
32 1
33 0
32 0
33 0
34 0
34 0
33 0
33 0
33 0
34 1
35 0
35 0
35 0
35 0
34 0
35 0
35 0
36 0
35 0
35 0
35 0
35 0
34 0
34 1
34 0
34 0
34 0
35 0
#Observed Trajectory.
16 23
16 24
15 25
15 25
14 26
13 27
13 28
12 29
11 29
10 30
9 31
9 32
8 33
6 34
7 35
6 36
5 37
4 38
3 39
2 40
1 41
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
0 42
#Observed Trajectory.
49 16
49 16
49 16
49 16
49 16
49 16
49 16
49 16
50 16
48 16
49 16
49 16
49 17
49 16
49 16
49 16
49 17
49 17
49 17
49 17
49 17
48 17
49 17
49 18
49 17
49 18
49 18
49 17
49 17
49 18
#Observed Trajectory.
12 13
11 13
11 12
11 13
12 12
10 12
10 12
9 12
8 12
7 12
6 12
5 12
5 11
5 12
5 12
4 12
5 13
4 13
4 13
3 13
3 13
5 14
3 14
2 14
1 14
1 15
0 15
0 15
0 15
0 15
#Observed Trajectory.
41 24
41 22
42 22
42 22
43 22
43 21
43 21
44 21
44 22
45 22
46 22
47 22
47 23
48 23
49 23
49 22
49 23
49 23
48 23
49 23
49 23
49 23
49 24
49 24
49 24
49 24
49 24
49 24
49 25
49 24
#Observed Trajectory.
14 44
15 45
14 45
14 44
14 45
13 45
14 46
13 46
12 46
12 46
12 47
13 48
11 48
10 48
9 48
9 48
10 49
10 49
10 49
10 49
10 49
10 49
10 49
10 49
9 49
9 49
10 49
10 49
10 49
10 49
#Observed Trajectory.
32 41
33 40
33 40
33 39
35 40
36 40
36 41
37 41
38 42
38 42
39 44
39 43
39 43
40 44
41 45
42 45
42 46
43 47
44 48
45 49
44 49
45 49
