# New slice
37 19
38 18
39 17
40 16
41 17
42 18
43 19
44 20
44 21
45 22
46 23
47 22
48 22
49 23
49 23
49 23
49 24
49 24
49 24
49 23
49 23
49 23
49 24
49 23
49 23
49 23
49 24
49 24
49 24
49 24
# New slice
19 7
18 7
19 7
19 7
19 6
19 7
18 6
19 7
19 7
19 7
18 7
19 8
19 8
18 7
19 8
18 7
19 7
18 6
18 7
19 8
19 8
18 7
19 8
18 7
19 8
18 7
19 8
19 8
18 7
19 8
# New slice
28 23
29 24
30 25
31 25
31 25
32 25
33 25
34 25
35 26
36 27
37 28
38 29
39 30
40 31
39 30
39 30
40 31
39 30
40 30
41 30
40 29
41 30
40 29
41 30
41 30
41 29
41 28
42 28
41 27
42 26
# New slice
19 9
18 8
18 8
17 7
18 8
17 7
18 8
17 7
18 8
17 7
18 8
17 7
18 8
17 8
16 7
17 7
17 7
18 8
17 7
18 7
18 7
19 8
19 8
18 7
19 8
18 7
19 8
18 7
19 8
19 7
# New slice
39 14
40 13
39 14
40 13
39 14
40 14
39 15
39 15
40 14
40 15
40 15
41 16
42 17
42 18
42 18
43 19
43 19
44 19
45 20
46 20
47 21
48 22
49 23
49 23
49 22
49 21
49 21
49 21
49 21
49 21
# New slice
34 45
35 46
36 46
36 47
37 48
38 49
38 49
38 49
38 49
37 49
37 49
37 49
37 49
37 49
36 49
36 49
35 49
35 49
35 49
34 49
34 49
34 49
33 49
33 49
33 49
33 49
33 49
33 49
33 49
33 49
